Wavelength,0%,0%H,0%V,10%,10%H,10%V,20%,20%H,20%V,30%,30%H,30%V,40%,40%H,40%V,50%,50%H,50%V
323,0.373716,4,3.97549,0.340963,4,4,0.361113,4,4,0.345206,4,3.964189,0.342464,4,4,0.34456,4,4
323.5,0.37361,4,4,0.341031,4,4,0.361136,4,4,0.345281,4,4,0.342699,4,4,0.344791,3.944826,4
324,0.373945,3.991098,4,0.341053,4,4,0.36128,4,3.982218,0.345503,4,4,0.343069,3.974858,4,0.345025,4,3.968961
324.5,0.373801,3.981887,3.974784,0.341433,3.974769,4,0.361617,3.974592,4,0.345806,4,4,0.343042,3.974858,4,0.345226,3.982022,3.974655
325,0.373992,4,3.974429,0.34161,4,4,0.361669,3.965168,3.981667,0.346037,4,4,0.343278,4,4,0.345899,4,4
325.5,0.374507,4,4,0.341832,3.962739,3.990161,0.362205,4,3.981355,0.346583,4,3.974092,0.343827,4,4,0.346219,4,4
326,0.374882,4,4,0.342125,3.962739,3.981099,0.362499,4,4,0.34711,3.953682,3.989736,0.34417,3.970882,4,0.346514,4,4
326.5,0.374687,4,4,0.342371,3.970382,3.795062,0.362702,4,3.980786,0.34707,4,3.989736,0.344577,3.970288,4,0.346928,4,4
327,0.375057,3.969716,4,0.342523,4,3.953171,0.36313,4,4,0.347583,4,4,0.344746,4,3.923742,0.347149,4,4
327.5,0.375308,4,4,0.342898,4,4,0.363692,4,4,0.348024,4,4,0.345472,3.960151,4,0.347825,4,4
328,0.376122,4,4,0.343545,4,4,0.364492,4,4,0.348594,3.922474,4,0.346199,3.968531,4,0.348517,4,4
328.5,0.376514,4,3.927224,0.344009,4,3.99983,0.364999,4,3.952294,0.34904,4,4,0.346622,4,3.960892,0.348809,3.972458,3.988193
329,0.377059,4,4,0.344441,4,3.999292,0.365494,4,4,0.35008,4,4,0.3474,3.999281,4,0.349541,4,4
329.5,0.377671,4,3.954395,0.34494,3.978934,4,0.366096,3.951529,4,0.350196,4,3.971858,0.347812,4,4,0.350208,4,3.97901
330,0.37832,4,3.998894,0.345654,4,4,0.366851,4,3.965257,0.351193,4,4,0.348672,4,4,0.350975,3.998739,4
330.5,0.378897,3.987036,4,0.346149,4,3.902627,0.36765,3.959637,4,0.351735,4,4,0.349348,3.969525,4,0.351611,4,3.957026
331,0.379477,3.957716,4,0.346468,3.97096,3.986965,0.368453,3.959637,4,0.352374,4,4,0.350087,3.998219,4,0.352499,4,3.998315
331.5,0.38021,3.954249,3.934697,0.347801,4,3.986553,0.368955,3.986362,3.937107,0.35328,4,4,0.35075,3.9863,4,0.352955,3.964405,4
332,0.38088,3.883011,4,0.348045,4,3.997495,0.369742,3.970042,4,0.354016,4,3.986104,0.351296,4,3.923417,0.354082,3.971902,3.942782
