Wavelength,0%,0%H,0%V,10%,10%H,10%V,20%,20%H,20%V,30%,30%H,30%V,V_baseline,H_baseline
300.0,0.207481,-0.03570599999999979,-0.18560199999999982,0.199845,0.0,0.0,0.197765,-0.09904899999999994,0.0,0.198394,0.0,-0.04390099999999997,4.0,4.0
300.5,0.206436,-0.07404900000000003,-0.09028230000000015,0.198816,-0.02193999999999985,0.026298699999999897,0.196824,-0.059998999999999914,0.004350699999999819,0.197359,0.0,0.003473699999999802,3.9737013,4.0
301.0,0.205409,0.007132667000000037,-0.027099299999999715,0.197741,-0.009744332999999994,-0.059985299999999686,0.195763,-0.054292332999999804,-0.07767029999999986,0.19638,-0.051779332999999816,0.005585700000000138,3.9944143,3.992867333
301.5,0.204034,0.010985666999999921,0.019243299999999852,0.196587,-0.030697332999999993,0.013668299999999967,0.194553,0.010985666999999921,-0.01970969999999994,0.195174,0.010985666999999921,0.0137242999999998,3.9807567,3.989014333
302.0,0.202789,0.007215667000000092,-0.029666000000000192,0.195449,-0.01661133299999973,-0.005828999999999862,0.193431,0.007215667000000092,0.0,0.194044,0.007215667000000092,-0.01772000000000018,4.0,3.992784333
302.5,0.201662,0.003986666999999944,0.03372030000000015,0.194309,-0.007952332999999978,-0.03145669999999967,0.192347,0.003986666999999944,0.00381929999999997,0.192825,0.003986666999999944,0.03372030000000015,3.9662797,3.996013333
303.0,0.200437,-0.01760599999999979,0.009326999999999863,0.193117,0.0,0.03569500000000003,0.191136,0.0,0.03569500000000003,0.191754,0.0,0.03569500000000003,3.964305,4.0
303.5,0.199366,-0.03521300000000016,0.009593000000000185,0.191971,-0.06494299999999997,-0.01908500000000002,0.190135,0.0,-0.016964999999999897,0.190653,0.0,0.009593000000000185,3.990407,4.0
304.0,0.19804,0.008132332999999825,0.002723299999999984,0.190899,0.008132332999999825,0.02525030000000017,0.188969,-0.022446667000000087,0.002620300000000242,0.189546,0.008132332999999825,0.02525030000000017,3.9747497,3.991867667
304.5,0.197102,-0.04843900000000012,-0.12521100000000018,0.189821,-0.08439599999999992,-0.0856530000000002,0.188074,-0.030578999999999912,-0.09145000000000003,0.188584,0.0,-0.04402499999999998,4.0,4.0
305.0,0.19594,-0.04812599999999989,-0.05916100000000002,0.188815,0.0,-0.0016880000000001338,0.187105,0.0,-0.011745000000000339,0.187539,0.0,-0.038080000000000336,3.981828,4.0
305.5,0.194842,-0.03763100000000019,0.0,0.187785,0.0,-0.033240999999999854,0.185994,-0.07123599999999985,-0.08282100000000003,0.186351,0.0,-0.0441600000000002,4.0,4.0
306.0,0.19344,-0.04196799999999978,0.0359560000000001,0.186574,0.0,-0.003109999999999946,0.184547,-0.08454400000000017,-0.007887999999999895,0.185287,-0.08828699999999978,-0.04764999999999997,3.949413,4.0
306.5,0.192265,-0.12177799999999994,0.013987699999999936,0.185795,0.0,-0.027991300000000052,0.18363,-0.13198700000000008,-0.05045030000000006,0.18439,-0.026438000000000184,-0.012307300000000243,3.9860123,4.0
307.0,0.191617,-0.009987999999999886,-0.027693699999999932,0.18502,-0.0014240000000000919,-0.0774897000000001,0.183013,0.006022000000000194,-0.03178269999999994,0.183527,0.027829000000000104,-0.06793769999999988,3.9839457,3.972171
307.5,0.190639,0.0048479999999999634,0.01675229999999983,0.184229,-0.08213399999999993,-0.11090270000000002,0.182119,-0.13028299999999993,0.022468299999999886,0.182876,-0.0009640000000001869,0.022468299999999886,3.9775317,3.995152
308.0,0.18998,-0.17829899999999999,0.025133299999999803,0.183421,-0.07096200000000019,-0.0023957000000001116,0.181378,-0.16028600000000015,-0.01264770000000004,0.182225,-0.11786299999999983,0.019402299999999872,3.9748667,4.0
308.5,0.189072,-0.009121333000000398,-0.010673300000000108,0.182714,-0.016522333000000167,-0.12802729999999984,0.18059,-0.015272333000000415,-0.016464299999999987,0.181311,-0.021002333000000206,-0.039637299999999875,3.9961913,3.987436333
309.0,0.188317,0.016343333000000015,-0.00430369999999991,0.181792,0.001855332999999959,-0.02597270000000007,0.180016,0.016343333000000015,0.0028452999999997175,0.180572,-0.06669466700000015,0.017388299999999912,3.9826117,3.983656667
309.5,0.187763,0.0,-0.03494000000000019,0.181286,-0.05788200000000021,-0.03811600000000004,0.1794,0.0,-0.028256999999999977,0.179886,-0.05679899999999982,-0.153327,3.985929,4.0
310.0,0.187211,-0.04117499999999996,-0.13919330000000008,0.180654,-0.016789000000000165,0.020731699999999798,0.17888,0.011004999999999932,-0.000928299999999993,0.179566,-0.030842000000000258,-0.1067863,3.9792683,3.988995
310.5,0.186621,-0.004814999999999792,-0.14913330000000036,0.180057,0.022469000000000072,-0.05266530000000014,0.178226,-0.035410000000000164,0.009243699999999855,0.17896,0.02807000000000004,-0.028420300000000065,3.9907563,3.97193
311.0,0.185878,0.029159667000000056,-0.07739370000000001,0.179474,-0.004129332999999846,0.011202299999999887,0.177507,-0.07805733299999984,-0.004843700000000339,0.178605,0.029159667000000056,-0.010922700000000063,3.9832097,3.970840333
311.5,0.185289,-0.03912433300000018,-0.11289229999999995,0.178822,-0.015674333000000207,-0.07124130000000006,0.176968,0.011970666999999935,-0.06247429999999987,0.178086,-0.04005233300000022,-0.13483929999999988,3.9818393,3.988029333
312.0,0.18471,-0.014395667000000056,-0.005532999999999788,0.17835,-0.16380866700000007,0.0,0.17656,-0.007229666999999829,-0.09215499999999999,0.177722,0.007180332999999983,0.0,4.0,3.992819667
312.5,0.18415,-0.17211299999999996,0.004793299999999778,0.177895,0.0018410000000002036,0.004793299999999778,0.176129,0.0018410000000002036,-0.0441777000000001,0.177142,0.0018410000000002036,-0.015123700000000184,3.9952067,3.998159
313.0,0.183528,-0.01849400000000001,-0.1304639999999999,0.177214,-0.03289900000000001,0.0,0.175509,0.009212999999999916,-0.2265100000000002,0.176663,-0.01849299999999987,-0.08035499999999995,4.0,3.990787
313.5,0.183122,-0.21587033300000025,-0.09289199999999997,0.176714,-0.03825333300000011,-0.09853900000000015,0.175166,0.044922666999999805,-0.07940300000000011,0.176149,-0.01727533300000017,-0.07230500000000006,4.0,3.955077333
314.0,0.182444,-0.030153332999999893,0.021835999999999967,0.176377,-0.03019633300000013,-0.020385000000000097,0.174796,0.013552666999999907,-0.04140999999999995,0.17562,0.019220666999999914,-0.09843899999999994,3.958129,3.980779333
314.5,0.182089,0.012572667000000148,0.028672699999999995,0.176035,-0.08491633299999979,-0.026160299999999914,0.174283,-0.044350332999999686,0.0008507000000004261,0.175341,0.012572667000000148,-0.014324299999999734,3.9435483,3.987427333
315.0,0.181722,-0.0019643329999996517,-0.043098300000000034,0.175621,-0.0019863330000000623,0.049797700000000056,0.174161,-0.060983332999999806,0.049797700000000056,0.175044,0.012572667000000148,0.038253699999999835,3.9502023,3.987427333
