Wavelength,0%,0%H,0%V,10%,10%H,10%V,20%,20%H,20%V,30%,30%H,30%V
677,0.08486,0.34926,0.735096,0.086871,0.351754,0.734409,0.089684,0.355592,0.735571,0.094857,0.360917,0.738639
677.5,0.084653,0.348993,0.733725,0.086687,0.351588,0.73308,0.089472,0.355461,0.734308,0.094662,0.360788,0.737421
678,0.084464,0.348902,0.732531,0.086505,0.351516,0.731941,0.089307,0.355417,0.733124,0.094536,0.360724,0.736232
678.5,0.084251,0.348893,0.731091,0.08633,0.351474,0.730502,0.089126,0.355439,0.731684,0.094368,0.36069,0.734828
679,0.084131,0.348888,0.72985,0.086231,0.351453,0.729237,0.08905,0.355445,0.730514,0.094237,0.36072,0.733651
679.5,0.083932,0.348666,0.728603,0.08609,0.351239,0.728048,0.088912,0.355201,0.72932,0.094085,0.360524,0.732452
680,0.083818,0.348541,0.727553,0.086044,0.351162,0.727026,0.088831,0.355144,0.728312,0.094044,0.360445,0.731391
680.5,0.083637,0.348573,0.726226,0.085846,0.351205,0.725781,0.088654,0.355219,0.727097,0.093868,0.360427,0.730069
681,0.083483,0.348447,0.725052,0.085704,0.351062,0.724589,0.088533,0.354998,0.72594,0.09375,0.360296,0.728943
681.5,0.083368,0.34817,0.724,0.08561,0.350868,0.723588,0.088441,0.354775,0.724973,0.093641,0.360151,0.728052
682,0.083257,0.348063,0.723088,0.08549,0.350853,0.72272,0.088373,0.35477,0.724118,0.093544,0.36012,0.727186
682.5,0.083115,0.348002,0.721886,0.085382,0.3508,0.721555,0.088278,0.354749,0.72293,0.09344,0.360079,0.725909
683,0.082974,0.34786,0.720837,0.085301,0.350668,0.720554,0.088201,0.354647,0.721928,0.093388,0.359986,0.724921
683.5,0.082902,0.34764,0.719952,0.085201,0.350423,0.719684,0.088114,0.354434,0.721054,0.093306,0.359754,0.724105
684,0.082786,0.347412,0.719054,0.085095,0.350228,0.71883,0.088008,0.354226,0.72019,0.093194,0.359553,0.723212
684.5,0.082704,0.347414,0.718059,0.085029,0.350197,0.717878,0.087868,0.354243,0.719187,0.093124,0.359591,0.722243
685,0.082596,0.347358,0.717152,0.084952,0.350091,0.717005,0.087818,0.354162,0.718285,0.093031,0.359478,0.721332
685.5,0.082528,0.346981,0.716264,0.084892,0.3498,0.716102,0.087756,0.353814,0.717448,0.09299,0.359167,0.7205
686,0.082425,0.346859,0.715524,0.084815,0.349647,0.715351,0.087678,0.353708,0.716761,0.092901,0.35909,0.7198
686.5,0.082309,0.346878,0.714645,0.084708,0.349654,0.714473,0.087581,0.353768,0.715829,0.092819,0.359051,0.718781
687,0.082165,0.346643,0.713735,0.084618,0.349482,0.713529,0.087454,0.353572,0.714892,0.092779,0.358824,0.717875
687.5,0.082077,0.346354,0.712981,0.084577,0.349249,0.71288,0.087438,0.353315,0.714265,0.0927,0.358668,0.717275
688,0.082045,0.346155,0.712321,0.084552,0.349062,0.712281,0.087374,0.353125,0.71363,0.092673,0.358448,0.716569
688.5,0.081965,0.346066,0.711426,0.084502,0.348987,0.711383,0.087377,0.353034,0.712714,0.092646,0.35839,0.71568
689,0.081906,0.345937,0.710617,0.084403,0.348887,0.710587,0.087302,0.352873,0.711963,0.092573,0.358277,0.714884
689.5,0.081827,0.345609,0.709883,0.084328,0.348562,0.709864,0.087238,0.352562,0.711183,0.092454,0.357916,0.714144
690,0.081773,0.345226,0.709135,0.084233,0.348218,0.709215,0.087199,0.352282,0.710536,0.092362,0.357652,0.713494
690.5,0.081671,0.345118,0.708408,0.084169,0.3481,0.708543,0.087089,0.3522,0.709836,0.092294,0.357582,0.712726
691,0.081597,0.345067,0.707658,0.084107,0.34804,0.707739,0.087027,0.352068,0.709038,0.092216,0.357423,0.711921
691.5,0.08154,0.34469,0.706953,0.084028,0.347608,0.706976,0.086945,0.351646,0.708323,0.092151,0.357069,0.711284
692,0.081493,0.344368,0.706488,0.083999,0.347341,0.706477,0.086906,0.351413,0.707898,0.092103,0.356876,0.710838
