Wavelength,0%,0%H,0%V,10%,10%H,10%V,20%,20%H,20%V,30%,30%H,30%V
760.5,0.080752,0.298481,0.665356,0.083381,0.301699,0.665046,0.08604,0.305753,0.665723,0.090269,0.310416,0.667229
761,0.080734,0.298301,0.665107,0.083306,0.301519,0.6648,0.08603,0.305586,0.665408,0.090245,0.310263,0.666975
761.5,0.08064,0.29809,0.664937,0.083235,0.30132,0.664609,0.085951,0.305427,0.665245,0.09018,0.310046,0.666841
762,0.080704,0.297774,0.664919,0.08326,0.300994,0.664601,0.085986,0.305112,0.665234,0.090184,0.309668,0.666754
762.5,0.080713,0.297299,0.664824,0.083271,0.300424,0.664389,0.085982,0.304507,0.665023,0.090168,0.309021,0.666495
763,0.080732,0.296692,0.66455,0.083281,0.299877,0.664147,0.085984,0.303868,0.664774,0.090169,0.308483,0.666249
763.5,0.080675,0.296413,0.664594,0.083286,0.299635,0.664148,0.08596,0.303761,0.664876,0.090126,0.308402,0.666423
764,0.080674,0.296504,0.664685,0.083288,0.299662,0.664162,0.08593,0.303854,0.664807,0.090128,0.308398,0.666325
764.5,0.080725,0.296204,0.664408,0.083252,0.299335,0.663853,0.08592,0.303349,0.664524,0.090105,0.30783,0.665935
765,0.080749,0.295426,0.664201,0.083266,0.298561,0.663695,0.085958,0.302567,0.664387,0.090116,0.307069,0.665805
765.5,0.080807,0.294979,0.664331,0.083337,0.29817,0.663873,0.086006,0.302251,0.664569,0.090149,0.306799,0.666014
766,0.080795,0.294958,0.664308,0.083315,0.298145,0.663888,0.085987,0.302219,0.664501,0.090115,0.306772,0.665869
766.5,0.080769,0.294882,0.664048,0.083315,0.298018,0.663626,0.085983,0.302097,0.664232,0.090127,0.306609,0.665662
767,0.080731,0.294455,0.663915,0.083272,0.297553,0.663423,0.08593,0.301607,0.664043,0.090068,0.306073,0.665502
767.5,0.080724,0.293842,0.663842,0.083223,0.296953,0.663371,0.085912,0.301012,0.663982,0.090062,0.305486,0.665424
768,0.080715,0.29328,0.663586,0.083208,0.296442,0.663067,0.085875,0.30048,0.663697,0.089996,0.304929,0.665161
768.5,0.080752,0.293077,0.663438,0.083238,0.296213,0.662998,0.085893,0.300297,0.663594,0.089982,0.304797,0.665119
769,0.080795,0.293073,0.663637,0.083313,0.296242,0.663173,0.08596,0.300343,0.663788,0.090034,0.304846,0.665263
769.5,0.080807,0.292963,0.663648,0.083335,0.296092,0.663211,0.086003,0.300133,0.663733,0.090063,0.304575,0.665094
770,0.080788,0.292254,0.663326,0.08331,0.295372,0.662854,0.085962,0.299347,0.663353,0.090039,0.30376,0.664748
770.5,0.08079,0.291582,0.663203,0.083326,0.294714,0.662685,0.085954,0.298725,0.663259,0.090058,0.303218,0.664773
771,0.080797,0.291447,0.663456,0.083354,0.294675,0.662867,0.085991,0.298708,0.663553,0.090048,0.303262,0.664939
771.5,0.080822,0.291528,0.66334,0.08336,0.29474,0.662791,0.085975,0.298818,0.663336,0.090033,0.303269,0.66478
772,0.080842,0.291226,0.663122,0.083353,0.294389,0.662518,0.085969,0.29835,0.663117,0.09,0.302779,0.664498
772.5,0.080838,0.290549,0.663006,0.083342,0.293639,0.662361,0.085931,0.297652,0.66305,0.090024,0.302124,0.664394
773,0.080782,0.29005,0.663042,0.083308,0.293174,0.662474,0.08592,0.297175,0.663023,0.089989,0.301665,0.664334
773.5,0.080832,0.289889,0.662872,0.083323,0.293,0.662257,0.085966,0.296997,0.662778,0.090004,0.301482,0.664112
774,0.080814,0.289775,0.662797,0.083326,0.292948,0.662174,0.085971,0.29694,0.662853,0.089977,0.301353,0.664135
774.5,0.080818,0.289556,0.662827,0.083295,0.292733,0.662217,0.085929,0.29672,0.662746,0.089958,0.301132,0.664119
775,0.080825,0.289071,0.662772,0.083292,0.292226,0.662092,0.08592,0.29618,0.662564,0.089935,0.300577,0.663927
775.5,0.080833,0.288467,0.662448,0.083327,0.291533,0.661767,0.085938,0.29548,0.66224,0.089933,0.299886,0.663591
776,0.080858,0.288123,0.662423,0.083365,0.291263,0.661869,0.085959,0.295244,0.662414,0.089932,0.299731,0.66376
776.5,0.080867,0.288207,0.662561,0.083332,0.291333,0.662064,0.085973,0.295336,0.662484,0.089919,0.299826,0.663817
777,0.080841,0.288203,0.662466,0.083317,0.291287,0.661897,0.085936,0.295215,0.66231,0.089879,0.299596,0.663584
777.5,0.080893,0.287628,0.662208,0.083331,0.29073,0.661576,0.085949,0.294589,0.662014,0.089898,0.298898,0.663269
778,0.080896,0.286908,0.662113,0.083337,0.290028,0.661452,0.085945,0.293934,0.662015,0.089927,0.298324,0.663347
778.5,0.080905,0.286648,0.662242,0.083345,0.289772,0.661636,0.085952,0.293772,0.662121,0.089891,0.298155,0.663441
779,0.080907,0.286677,0.662107,0.083297,0.289773,0.661446,0.085954,0.293746,0.661854,0.089861,0.298143,0.663198
779.5,0.080893,0.286561,0.661967,0.08331,0.289594,0.661325,0.085923,0.29355,0.661797,0.089859,0.297916,0.663094
780,0.080884,0.286065,0.661895,0.083328,0.289154,0.661221,0.085917,0.293069,0.661698,0.089836,0.297457,0.663007
780.5,0.080835,0.285531,0.661849,0.083309,0.288595,0.661195,0.085898,0.292515,0.661564,0.089783,0.296866,0.662919
781,0.080903,0.285061,0.661529,0.083337,0.28814,0.660857,0.085896,0.29202,0.661258,0.089796,0.296387,0.662498
781.5,0.08092,0.284845,0.661488,0.083337,0.287943,0.66079,0.085902,0.291861,0.661285,0.089834,0.296261,0.662573
782,0.080885,0.284835,0.66165,0.083289,0.287957,0.660959,0.085864,0.291915,0.661457,0.089783,0.296305,0.662716
782.5,0.080919,0.284826,0.661593,0.083326,0.287882,0.660895,0.085915,0.291775,0.661373,0.08981,0.296098,0.66256
783,0.080945,0.284232,0.661336,0.083327,0.287254,0.660577,0.085928,0.291098,0.661038,0.089826,0.295321,0.662166
783.5,0.080941,0.283492,0.661019,0.083352,0.286515,0.660298,0.085903,0.290404,0.660788,0.089785,0.29473,0.662041
784,0.080954,0.283297,0.661216,0.083386,0.286401,0.660574,0.085891,0.290296,0.66105,0.089799,0.294708,0.662318
784.5,0.080963,0.283443,0.66113,0.083372,0.2865,0.660485,0.085875,0.290444,0.66095,0.089785,0.294786,0.662073
785,0.080955,0.283319,0.660946,0.083335,0.28632,0.660224,0.085856,0.290212,0.660646,0.089728,0.294449,0.661854
785.5,0.080936,0.282674,0.660749,0.083327,0.285671,0.659994,0.08586,0.289548,0.660429,0.089741,0.293734,0.66163
786,0.080939,0.282091,0.660752,0.083334,0.285135,0.659994,0.085847,0.289003,0.660435,0.089745,0.293215,0.661669
786.5,0.080956,0.28181,0.660535,0.083301,0.284824,0.659812,0.085839,0.288679,0.660202,0.089702,0.292945,0.661332
787,0.080978,0.281701,0.660336,0.083326,0.284741,0.659514,0.085878,0.288657,0.660011,0.089699,0.292937,0.661137
787.5,0.080951,0.281571,0.660296,0.083341,0.284617,0.659571,0.085839,0.288542,0.660008,0.089702,0.292817,0.661177
788,0.080934,0.281275,0.660239,0.083334,0.284328,0.659496,0.085798,0.288197,0.659894,0.089685,0.292467,0.661037
788.5,0.080922,0.280699,0.660005,0.083316,0.283687,0.659144,0.085803,0.287478,0.65944,0.08962,0.291702,0.660592
789,0.080937,0.280068,0.659566,0.083299,0.283036,0.658746,0.085811,0.28683,0.659071,0.089572,0.291152,0.660302
789.5,0.080927,0.279913,0.659643,0.083305,0.282959,0.658862,0.085817,0.286836,0.659327,0.089567,0.291175,0.660512
790,0.080957,0.280023,0.659627,0.083303,0.283109,0.658876,0.085801,0.28702,0.659207,0.089594,0.291283,0.660385
790.5,0.080987,0.279903,0.659372,0.08331,0.282877,0.658635,0.085837,0.286697,0.658913,0.089635,0.290852,0.660042
791,0.080985,0.279126,0.659003,0.083345,0.282085,0.658237,0.085861,0.285834,0.658491,0.089604,0.290028,0.65969
791.5,0.080984,0.278573,0.658902,0.083354,0.281556,0.658173,0.08588,0.285388,0.658572,0.089615,0.289647,0.659706
792,0.081002,0.278469,0.658778,0.083358,0.281481,0.657973,0.085859,0.285304,0.658299,0.089627,0.289597,0.659452
792.5,0.081016,0.278468,0.658449,0.083356,0.281481,0.657699,0.085862,0.285283,0.65799,0.089618,0.289497,0.659125
793,0.081024,0.278176,0.658281,0.083348,0.281148,0.657474,0.08584,0.284941,0.657856,0.089594,0.289118,0.658927
793.5,0.080989,0.277659,0.658034,0.083293,0.28064,0.65727,0.085801,0.284446,0.657634,0.089549,0.288589,0.658712
794,0.080963,0.277117,0.657652,0.083285,0.280064,0.656877,0.085813,0.283852,0.657133,0.089526,0.287971,0.658145
794.5,0.080956,0.276624,0.6571,0.083316,0.279607,0.65633,0.08581,0.283431,0.656647,0.089518,0.287642,0.657818
795,0.080987,0.276572,0.657154,0.08328,0.279545,0.656342,0.085779,0.283441,0.656729,0.089502,0.287624,0.657943
795.5,0.081025,0.276617,0.657103,0.0833,0.279601,0.656282,0.085761,0.283457,0.656587,0.089477,0.287669,0.657736
796,0.08102,0.276466,0.656814,0.083297,0.279356,0.655946,0.085757,0.28308,0.656212,0.089486,0.28724,0.65729
796.5,0.081019,0.275658,0.656202,0.083276,0.278511,0.655312,0.085732,0.282213,0.655511,0.089501,0.286314,0.656602
797,0.081028,0.275016,0.655798,0.083301,0.27792,0.654993,0.085778,0.281735,0.655388,0.089505,0.285909,0.656433
797.5,0.080987,0.274922,0.65581,0.083277,0.27783,0.65499,0.08578,0.281713,0.655336,0.089465,0.285911,0.656316
798,0.081012,0.27504,0.655442,0.08325,0.277892,0.654532,0.085757,0.28179,0.654916,0.089434,0.285945,0.655919
798.5,0.081022,0.274783,0.655017,0.083248,0.277605,0.654054,0.085737,0.281482,0.654499,0.089408,0.285458,0.655484
799,0.081015,0.274084,0.654521,0.083251,0.276938,0.653596,0.085741,0.280787,0.65401,0.089452,0.284809,0.655055
799.5,0.081056,0.27356,0.654292,0.083257,0.276523,0.653406,0.085771,0.280319,0.653717,0.089435,0.284325,0.654768
800,0.081075,0.273225,0.653641,0.083293,0.276114,0.6528,0.085759,0.279931,0.653056,0.089439,0.283967,0.654022
800.5,0.081048,0.273069,0.653115,0.083302,0.275966,0.652246,0.085774,0.279772,0.652615,0.089415,0.283875,0.653656
801,0.081092,0.272991,0.652924,0.083311,0.275863,0.652083,0.085781,0.279673,0.652453,0.089406,0.28375,0.653452
801.5,0.081093,0.272767,0.652614,0.083295,0.275698,0.651771,0.085785,0.279416,0.652073,0.0894,0.283537,0.653035
802,0.081063,0.272252,0.65208,0.083283,0.275176,0.651231,0.085748,0.278783,0.651372,0.089368,0.282837,0.652335
802.5,0.081054,0.271523,0.651202,0.083304,0.274384,0.650211,0.085711,0.277989,0.650479,0.089379,0.282094,0.651539
803,0.081075,0.271107,0.650753,0.083314,0.274007,0.649809,0.085689,0.277741,0.650195,0.089348,0.281838,0.651342
803.5,0.081066,0.271129,0.650505,0.083275,0.274044,0.649606,0.085664,0.277838,0.649961,0.08931,0.281909,0.650956
804,0.081107,0.271241,0.650005,0.083306,0.274124,0.649062,0.085733,0.277876,0.649355,0.089318,0.281898,0.650424
804.5,0.081144,0.270836,0.649399,0.083332,0.273557,0.6484,0.085761,0.277232,0.648583,0.089355,0.281204,0.649605
805,0.08116,0.27001,0.648602,0.083384,0.272766,0.647589,0.08581,0.276477,0.647912,0.089396,0.280488,0.648964
805.5,0.08118,0.269546,0.648148,0.083355,0.272355,0.647225,0.085784,0.276095,0.647523,0.089379,0.280154,0.648575
806,0.081161,0.269333,0.647421,0.083308,0.27217,0.646489,0.085763,0.275883,0.646777,0.089337,0.279935,0.647738
806.5,0.081143,0.26928,0.646617,0.083324,0.272088,0.645691,0.085736,0.275868,0.6461,0.089318,0.27985,0.647103
807,0.08116,0.268917,0.645983,0.083327,0.2717,0.645046,0.085733,0.275486,0.645444,0.089327,0.279466,0.646436
807.5,0.08117,0.268457,0.645322,0.083325,0.271236,0.644374,0.085751,0.275048,0.64478,0.089286,0.279005,0.645792
808,0.08118,0.267965,0.644638,0.083356,0.270776,0.643682,0.08573,0.274465,0.643971,0.089295,0.278334,0.644803
808.5,0.081198,0.2673,0.643394,0.083336,0.270154,0.642448,0.085763,0.273739,0.642738,0.0893,0.277732,0.643729
809,0.081191,0.267023,0.642691,0.083335,0.26985,0.641743,0.08575,0.273528,0.642152,0.089315,0.277569,0.643214
809.5,0.081146,0.266925,0.642114,0.083322,0.269778,0.641107,0.085739,0.273483,0.641596,0.089261,0.277544,0.642564
810,0.081172,0.26686,0.641369,0.083325,0.269625,0.640282,0.085711,0.273306,0.64075,0.089265,0.277215,0.641648
810.5,0.081183,0.266144,0.64016,0.08328,0.26884,0.639016,0.0857,0.272354,0.639423,0.089259,0.276228,0.640286
811,0.081214,0.265263,0.638981,0.083317,0.267987,0.637914,0.085711,0.271613,0.638308,0.089268,0.275546,0.639384
811.5,0.081155,0.264849,0.638244,0.083327,0.267639,0.637221,0.085691,0.271343,0.637655,0.089225,0.275354,0.638676
812,0.081161,0.26481,0.637231,0.083288,0.267526,0.63623,0.085653,0.271248,0.636553,0.089158,0.275264,0.637604
812.5,0.081149,0.264708,0.6362,0.083239,0.267358,0.635205,0.085671,0.271066,0.63551,0.089147,0.274961,0.636521
813,0.081138,0.263914,0.634931,0.083191,0.266584,0.633975,0.085631,0.270256,0.634227,0.089135,0.274101,0.635277
813.5,0.081119,0.263242,0.633902,0.083219,0.265943,0.632973,0.08561,0.269621,0.633301,0.089126,0.27356,0.634341
814,0.08117,0.262773,0.632793,0.083269,0.265443,0.631739,0.085621,0.269083,0.632037,0.089155,0.27301,0.633016
814.5,0.08113,0.262313,0.631235,0.083242,0.264969,0.630213,0.085609,0.268648,0.630596,0.089103,0.272622,0.631689
815,0.081195,0.262089,0.630217,0.083287,0.264792,0.629208,0.0856,0.268461,0.629686,0.089097,0.272409,0.630832
815.5,0.081197,0.261795,0.629151,0.083245,0.264549,0.628186,0.085569,0.268216,0.6286,0.089087,0.272136,0.629719
816,0.081148,0.261447,0.628017,0.083256,0.264133,0.627046,0.085616,0.267763,0.627427,0.089073,0.271609,0.628448
816.5,0.081125,0.26053,0.626286,0.083219,0.26313,0.6253,0.085569,0.266709,0.625647,0.089054,0.270583,0.626644
817,0.08114,0.259769,0.624757,0.08318,0.262386,0.623798,0.085551,0.266028,0.624282,0.089015,0.269923,0.625475
817.5,0.081135,0.25946,0.623671,0.083167,0.262146,0.622713,0.08552,0.265797,0.623232,0.088962,0.269728,0.624355
818,0.081104,0.259398,0.622345,0.083129,0.262098,0.621358,0.085469,0.265773,0.6219,0.088917,0.26966,0.622962
818.5,0.081085,0.259094,0.62091,0.083114,0.261721,0.619939,0.085499,0.265319,0.620348,0.088905,0.269065,0.621342
819,0.081135,0.258095,0.619129,0.083148,0.260722,0.618154,0.085469,0.264313,0.618564,0.088939,0.26806,0.619668
819.5,0.081098,0.257308,0.617592,0.083105,0.259972,0.616697,0.085474,0.263606,0.617196,0.088904,0.267413,0.618333
820,0.081116,0.256896,0.616085,0.08313,0.259556,0.615165,0.085504,0.263145,0.61566,0.088943,0.266989,0.616756
820.5,0.081115,0.256656,0.614399,0.083125,0.259289,0.613488,0.085487,0.262928,0.613971,0.088941,0.266784,0.615221
821,0.081152,0.256348,0.612956,0.083161,0.258977,0.612031,0.085518,0.262554,0.612515,0.088937,0.266365,0.613744
821.5,0.081128,0.255712,0.611331,0.083122,0.25833,0.610509,0.085429,0.261938,0.610967,0.088889,0.265775,0.612147
822,0.081054,0.255185,0.609809,0.083039,0.257772,0.60895,0.08534,0.261343,0.609354,0.088766,0.265056,0.610494
822.5,0.081096,0.254431,0.607883,0.083071,0.257011,0.607051,0.085366,0.260471,0.607287,0.088748,0.2642,0.60842
823,0.081134,0.253726,0.605896,0.083121,0.256305,0.605072,0.085402,0.259848,0.60548,0.088783,0.26363,0.606702
823.5,0.081113,0.253364,0.604379,0.083092,0.25592,0.603553,0.085348,0.259523,0.604114,0.08878,0.26335,0.605295
824,0.081046,0.253114,0.602769,0.083015,0.255674,0.601874,0.085359,0.259327,0.602511,0.088732,0.263141,0.603672
824.5,0.081126,0.252941,0.601226,0.083076,0.255449,0.600272,0.085366,0.259031,0.600837,0.088776,0.262695,0.601968
825,0.081233,0.252067,0.599154,0.083169,0.2545,0.598108,0.085486,0.257943,0.598585,0.088883,0.261584,0.599695
825.5,0.081177,0.250986,0.596909,0.083108,0.253464,0.595997,0.085401,0.256984,0.596507,0.088779,0.260701,0.597701
826,0.08105,0.250394,0.595096,0.082989,0.252888,0.594224,0.085254,0.25646,0.594793,0.088654,0.26017,0.595925
826.5,0.081086,0.250153,0.59319,0.083038,0.252652,0.592398,0.085292,0.256246,0.592893,0.088671,0.260017,0.594056
827,0.081119,0.250034,0.591342,0.083099,0.252507,0.59058,0.085339,0.256071,0.591162,0.08872,0.259765,0.592316
827.5,0.081135,0.249228,0.589222,0.083089,0.251703,0.588438,0.085327,0.255172,0.589005,0.08867,0.258822,0.590136
828,0.081126,0.248308,0.587078,0.083014,0.250811,0.586297,0.085306,0.254352,0.586903,0.088655,0.258053,0.588117
828.5,0.081142,0.247734,0.585141,0.083079,0.250154,0.584253,0.085328,0.253647,0.584794,0.088661,0.257274,0.585989
829,0.081154,0.246982,0.582656,0.083088,0.249395,0.581729,0.085349,0.252893,0.58228,0.088682,0.25654,0.583619
829.5,0.081138,0.246515,0.580529,0.083051,0.248993,0.57964,0.085309,0.252459,0.580323,0.088657,0.256175,0.581757
830,0.081075,0.246013,0.578618,0.082984,0.248515,0.577736,0.085268,0.251972,0.578439,0.088615,0.255714,0.579897
830.5,0.081124,0.245663,0.576663,0.083019,0.248182,0.575844,0.085274,0.25169,0.576548,0.088593,0.255381,0.577963
831,0.081213,0.245135,0.574499,0.083099,0.247556,0.57364,0.085352,0.251001,0.574268,0.088657,0.254514,0.575511
831.5,0.081187,0.243948,0.571636,0.08311,0.246318,0.570737,0.08537,0.249728,0.571467,0.088662,0.253269,0.57274
832,0.081186,0.243108,0.569191,0.083092,0.245536,0.568429,0.085291,0.249028,0.56925,0.088645,0.252638,0.570604
832.5,0.081106,0.242629,0.567037,0.083025,0.24506,0.566265,0.085239,0.248577,0.56716,0.088537,0.252225,0.568474
833,0.081081,0.242397,0.564801,0.082924,0.244817,0.56399,0.085183,0.24836,0.564906,0.088442,0.251961,0.566233
833.5,0.081118,0.241926,0.562436,0.082981,0.244306,0.561649,0.085225,0.247703,0.562537,0.088535,0.251153,0.563729
834,0.081196,0.240745,0.55967,0.083042,0.243152,0.55893,0.08529,0.24651,0.559809,0.08858,0.25003,0.561061
834.5,0.081233,0.239942,0.557267,0.08306,0.242339,0.5566,0.085304,0.245804,0.557478,0.088581,0.249322,0.558766
835,0.081171,0.239202,0.554595,0.083017,0.241602,0.553969,0.085222,0.245004,0.554763,0.088546,0.248522,0.55601
835.5,0.081159,0.23873,0.551837,0.082993,0.241041,0.551239,0.085215,0.244464,0.552077,0.088503,0.248063,0.553431
836,0.081168,0.238211,0.549329,0.083033,0.24053,0.548731,0.085214,0.243862,0.549652,0.088462,0.247443,0.551034
836.5,0.081229,0.237415,0.546834,0.083046,0.239768,0.546256,0.085268,0.243203,0.547158,0.088474,0.246775,0.548623
837,0.081228,0.236901,0.544603,0.083072,0.239218,0.543884,0.085315,0.242602,0.544791,0.0885,0.246108,0.546143
837.5,0.081119,0.235789,0.541521,0.08295,0.238074,0.540781,0.085252,0.241289,0.541549,0.088452,0.244754,0.542835
838,0.08106,0.234745,0.538332,0.082923,0.237002,0.537634,0.085161,0.240362,0.538582,0.088423,0.243889,0.539983
838.5,0.081125,0.234257,0.535786,0.082941,0.236522,0.535207,0.085161,0.239904,0.536189,0.088405,0.243419,0.537616
839,0.081181,0.233877,0.533362,0.082988,0.236189,0.532804,0.085189,0.239604,0.533789,0.088404,0.243166,0.535223
839.5,0.08119,0.233554,0.531006,0.082978,0.235768,0.530391,0.085225,0.239109,0.531366,0.088423,0.242517,0.532673
840,0.081188,0.232367,0.528061,0.082991,0.234505,0.527319,0.08521,0.237712,0.528224,0.088387,0.241125,0.52958
840.5,0.081223,0.231233,0.525175,0.082975,0.233425,0.524485,0.08522,0.236713,0.52547,0.08843,0.240234,0.527043
841,0.081234,0.230591,0.522585,0.082976,0.232803,0.521927,0.085241,0.236123,0.523,0.088445,0.239639,0.524529
841.5,0.081269,0.230079,0.519835,0.083054,0.232289,0.519196,0.085263,0.235629,0.520257,0.088417,0.239143,0.521828
842,0.081235,0.229737,0.517193,0.083019,0.23188,0.51656,0.085187,0.235237,0.517677,0.088361,0.238659,0.51925
842.5,0.081236,0.228856,0.514432,0.082993,0.230971,0.513921,0.085207,0.234268,0.514966,0.088379,0.237664,0.51647
843,0.081219,0.227844,0.511714,0.083003,0.230029,0.511176,0.085128,0.233399,0.512327,0.088378,0.236812,0.513811
843.5,0.081224,0.227134,0.508959,0.083001,0.229285,0.508393,0.085147,0.232599,0.509506,0.088351,0.235912,0.510935
844,0.081211,0.226097,0.505633,0.083017,0.228225,0.504986,0.085158,0.231463,0.506135,0.088337,0.234849,0.507658
844.5,0.081203,0.225425,0.502626,0.083001,0.227545,0.502076,0.085157,0.230859,0.503349,0.088305,0.234232,0.504967
845,0.081178,0.224824,0.500107,0.083004,0.226968,0.499574,0.085155,0.230254,0.500865,0.088252,0.233662,0.502501
845.5,0.081204,0.224229,0.497595,0.082982,0.226414,0.497147,0.085178,0.229791,0.498393,0.088259,0.233242,0.500079
846,0.08125,0.223861,0.495104,0.083022,0.225931,0.494684,0.085188,0.229203,0.495805,0.088323,0.232499,0.497408
846.5,0.081242,0.222597,0.491795,0.083024,0.224649,0.491349,0.085173,0.227756,0.49248,0.088315,0.231028,0.493981
847,0.081209,0.221408,0.488704,0.082969,0.223476,0.488204,0.085143,0.226716,0.489452,0.088267,0.230059,0.491137
847.5,0.08122,0.220765,0.486025,0.082941,0.222895,0.485612,0.085114,0.226155,0.486913,0.088249,0.229469,0.488523
848,0.081226,0.220275,0.483352,0.082884,0.222397,0.482918,0.0851,0.225665,0.484283,0.088242,0.229074,0.485895
848.5,0.081273,0.220079,0.480852,0.082948,0.222161,0.480406,0.085115,0.225355,0.481757,0.088301,0.228694,0.483361
849,0.081308,0.219114,0.477898,0.083035,0.221189,0.47749,0.085145,0.224268,0.47879,0.088275,0.22743,0.48036
849.5,0.08129,0.217828,0.474825,0.082988,0.219892,0.474449,0.085146,0.223025,0.475767,0.088185,0.226327,0.477451
850,0.081276,0.217141,0.472209,0.082969,0.219186,0.471814,0.085126,0.222347,0.473075,0.088196,0.225618,0.474707
850.5,0.081305,0.216327,0.469184,0.082998,0.218343,0.468765,0.085114,0.22146,0.470015,0.08824,0.22476,0.471631
851,0.081332,0.215762,0.466269,0.08303,0.21772,0.465826,0.085177,0.220925,0.467238,0.088255,0.224257,0.468914
851.5,0.08132,0.215206,0.463644,0.083006,0.217165,0.463233,0.085135,0.220268,0.464702,0.088224,0.223537,0.466365
852,0.081323,0.214279,0.460989,0.082968,0.216284,0.460578,0.085102,0.219451,0.462084,0.088219,0.222732,0.463816
852.5,0.081334,0.213728,0.458525,0.082948,0.215752,0.45807,0.085026,0.21894,0.4595,0.088192,0.222138,0.461191
853,0.081345,0.212773,0.455354,0.08299,0.214733,0.454816,0.085053,0.217734,0.456142,0.088191,0.220788,0.457697
853.5,0.081353,0.211519,0.451761,0.083055,0.213458,0.451312,0.085117,0.216546,0.452769,0.088212,0.219698,0.454418
854,0.081414,0.210934,0.448858,0.083093,0.212832,0.448444,0.085147,0.215945,0.45006,0.088233,0.219123,0.451731
854.5,0.081407,0.210239,0.446076,0.083043,0.212162,0.445723,0.085131,0.215289,0.447308,0.088196,0.218575,0.44907
855,0.081427,0.209963,0.443705,0.083054,0.211862,0.443388,0.085102,0.215046,0.444885,0.088163,0.218272,0.446686
855.5,0.081386,0.209178,0.440795,0.083004,0.211005,0.440465,0.085112,0.213906,0.441818,0.088152,0.217007,0.443539
856,0.081363,0.207596,0.437283,0.083029,0.209493,0.437105,0.085091,0.212451,0.438393,0.088118,0.215604,0.440249
856.5,0.081338,0.206723,0.434346,0.082967,0.208603,0.434251,0.085055,0.211687,0.435675,0.088102,0.214845,0.437419
857,0.081314,0.205963,0.431282,0.082917,0.207781,0.43112,0.084997,0.210804,0.432503,0.088027,0.21404,0.434342
857.5,0.081294,0.205422,0.428461,0.082872,0.207274,0.428134,0.084969,0.210328,0.429679,0.088005,0.213585,0.431627
858,0.081248,0.204881,0.425767,0.082893,0.206635,0.425414,0.084959,0.20962,0.427031,0.087947,0.212738,0.428891
858.5,0.081271,0.203699,0.422861,0.082931,0.205464,0.422519,0.084977,0.208474,0.424177,0.087961,0.211661,0.426128
859,0.081254,0.203,0.420281,0.08289,0.204806,0.41995,0.084909,0.207879,0.421543,0.087972,0.211017,0.423445
859.5,0.081227,0.202124,0.417111,0.082885,0.203854,0.41675,0.084878,0.206849,0.41819,0.087949,0.209807,0.420036
860,0.081226,0.200978,0.41366,0.082836,0.202729,0.413358,0.084884,0.205748,0.414968,0.08792,0.20885,0.41689
860.5,0.081262,0.200424,0.410931,0.082853,0.202152,0.41073,0.084859,0.205191,0.41247,0.087948,0.208297,0.414384
861,0.081309,0.199676,0.408411,0.082901,0.20144,0.408257,0.084888,0.204516,0.410089,0.087924,0.20765,0.411987
861.5,0.08128,0.199246,0.406126,0.082839,0.201063,0.405972,0.084886,0.204164,0.407731,0.08789,0.207285,0.409593
862,0.081237,0.198539,0.403152,0.082821,0.200316,0.402983,0.08489,0.203152,0.404547,0.087885,0.206145,0.406286
862.5,0.081286,0.196997,0.399663,0.082846,0.198761,0.399465,0.084881,0.201602,0.400957,0.087905,0.204641,0.402881
863,0.081322,0.196186,0.396746,0.082876,0.197912,0.396617,0.084886,0.200876,0.398216,0.087874,0.203927,0.400203
863.5,0.081339,0.19551,0.394062,0.082837,0.197244,0.393903,0.084876,0.200159,0.395566,0.087835,0.203286,0.397622
864,0.081334,0.195031,0.391625,0.082798,0.196817,0.391401,0.084865,0.199791,0.393042,0.087804,0.20297,0.395274
864.5,0.081319,0.194669,0.389101,0.082776,0.196321,0.388828,0.084851,0.199219,0.390437,0.087773,0.202173,0.392542
865,0.081315,0.193379,0.386141,0.08279,0.195024,0.385886,0.084896,0.197871,0.387513,0.08781,0.200825,0.389597
865.5,0.081291,0.192415,0.383401,0.082791,0.194151,0.383179,0.084823,0.197095,0.384883,0.087831,0.200082,0.386925
866,0.081281,0.191783,0.380605,0.082854,0.193402,0.380327,0.084828,0.196301,0.382041,0.087812,0.199157,0.383987
866.5,0.081294,0.190878,0.377601,0.082862,0.192495,0.377311,0.084868,0.195333,0.379149,0.087792,0.198377,0.381205
867,0.081339,0.190434,0.375129,0.082834,0.192047,0.374907,0.084904,0.194922,0.376877,0.087784,0.197933,0.378925
867.5,0.081312,0.189696,0.372837,0.082832,0.191317,0.37261,0.084854,0.194152,0.374635,0.087747,0.197079,0.376592
868,0.081246,0.188759,0.370528,0.08278,0.190508,0.370385,0.084751,0.193455,0.372409,0.087682,0.196469,0.374263
868.5,0.081212,0.18843,0.368055,0.082735,0.190119,0.367967,0.084805,0.19298,0.369826,0.087678,0.195792,0.371481
869,0.081261,0.187316,0.364847,0.082738,0.188974,0.364837,0.0848,0.191655,0.366538,0.087659,0.194404,0.368273
869.5,0.08127,0.186211,0.361919,0.082677,0.187829,0.361938,0.084755,0.190645,0.363766,0.087657,0.193537,0.36569
870,0.081261,0.18573,0.359556,0.08273,0.187294,0.35951,0.084749,0.190085,0.361434,0.087639,0.192964,0.363424
870.5,0.081219,0.185059,0.357346,0.082738,0.186651,0.357312,0.084745,0.189466,0.359246,0.087627,0.192445,0.361288
