Wavelength,0%,0%H,0%V,10%,10%H,10%V,20%,20%H,20%V,30%,30%H,30%V,40%,40%H,40%V,50%,50%H,50%V,V_baseline,H_baseline
300.0,0.433788,0.0,0.0,0.394925,0.0,0.0,0.413223,0.0,0.0,0.392195,0.0,0.0,0.388122,0.0,-0.016510999999999942,0.389276,0.0,0.0,4.0,4.0
300.5,0.431662,0.0,0.026298699999999897,0.392923,-0.029186000000000156,0.026298699999999897,0.411178,0.0,0.026298699999999897,0.390284,0.0,0.026298699999999897,0.386125,-0.005262999999999796,0.021011699999999855,0.387221,0.0,0.026298699999999897,3.9737013,4.0
301.0,0.429235,0.007132667000000037,0.005585700000000138,0.390655,0.0016676669999999838,0.005585700000000138,0.40885,-0.0044043330000000935,0.005585700000000138,0.388094,0.007132667000000037,0.005585700000000138,0.384006,0.007132667000000037,-0.08374930000000003,0.385221,0.007132667000000037,0.005585700000000138,3.9944143,3.992867333
301.5,0.426603,-0.0006693330000002717,-0.010313700000000203,0.38812,0.005520666999999868,0.019243299999999852,0.406354,0.010985666999999921,-0.013612700000000366,0.385892,-0.02744633299999988,0.019243299999999852,0.382072,0.010985666999999921,-0.032867700000000166,0.382982,0.010985666999999921,0.019243299999999852,3.9807567,3.989014333
302.0,0.423869,0.007215667000000092,-0.04211799999999988,0.385657,0.007215667000000092,-0.017020000000000035,0.403841,0.007215667000000092,0.0,0.383576,0.007215667000000092,0.0,0.379584,0.007215667000000092,0.0,0.380788,0.007215667000000092,0.0,4.0,3.992784333
302.5,0.421051,0.003986666999999944,0.021721300000000276,0.383564,0.003986666999999944,0.03372030000000015,0.401385,-0.001911333000000237,0.03372030000000015,0.38137,0.003986666999999944,0.03372030000000015,0.377294,0.003986666999999944,0.0038323000000000107,0.378437,0.003986666999999944,0.03372030000000015,3.9662797,3.996013333
303.0,0.418716,0.0,0.02963400000000016,0.381119,0.0,0.023362000000000105,0.399136,-0.017450000000000188,0.03569500000000003,0.37903,0.0,0.03569500000000003,0.375219,0.0,0.03569500000000003,0.376282,-0.02630700000000008,0.03569500000000003,3.964305,4.0
303.5,0.416246,0.0,0.009593000000000185,0.379083,-0.0062509999999997845,-0.012650999999999968,0.397048,0.0,0.009593000000000185,0.376927,0.0,0.009593000000000185,0.373177,0.0,0.009593000000000185,0.374257,0.0,0.009593000000000185,3.990407,4.0
304.0,0.413832,0.008132332999999825,0.02525030000000017,0.377144,0.008132332999999825,0.02525030000000017,0.395136,0.008132332999999825,0.02525030000000017,0.37483,0.008132332999999825,0.02525030000000017,0.370959,0.008132332999999825,0.02525030000000017,0.372253,0.008132332999999825,0.02525030000000017,3.9747497,3.991867667
304.5,0.411556,0.0,0.0,0.374857,-0.012713000000000196,0.0,0.392787,0.0,-0.0067349999999999355,0.37295,0.0,0.0,0.369107,0.0,0.0,0.370416,0.0,0.0,4.0,4.0
305.0,0.409382,-0.0069669999999999455,0.018171999999999855,0.372913,0.0,0.018171999999999855,0.39075,0.0,0.018171999999999855,0.371138,0.0,0.018171999999999855,0.367282,0.0,0.018171999999999855,0.368561,0.0,0.018171999999999855,3.981828,4.0
305.5,0.407122,-0.05162399999999989,0.0,0.370561,0.0,-0.04258300000000004,0.388457,0.0,0.0,0.369181,0.0,0.0,0.365403,0.0,-0.023111000000000104,0.366432,0.0,0.0,4.0,4.0
306.0,0.404601,0.0,0.05058700000000016,0.367216,-0.021784999999999943,0.022649000000000363,0.385185,-0.045770999999999784,0.05058700000000016,0.36738,0.0,0.05058700000000016,0.363114,0.0,0.05058700000000016,0.364055,-0.005857999999999919,0.016750000000000043,3.949413,4.0
306.5,0.402637,-0.08388399999999985,-0.024893300000000007,0.365473,0.0,0.013987699999999936,0.383463,-0.06567299999999987,0.013987699999999936,0.365651,0.0,0.013987699999999936,0.361318,-0.04201599999999983,0.013987699999999936,0.36238,0.0,0.008156699999999795,3.9860123,4.0
307.0,0.40064,0.01330600000000004,0.016054299999999966,0.363884,0.027829000000000104,0.016054299999999966,0.381702,-5.599999999983396e-05,0.016054299999999966,0.364376,0.027829000000000104,0.016054299999999966,0.359844,-0.014186999999999728,0.016054299999999966,0.361219,0.027829000000000104,0.016054299999999966,3.9839457,3.972171
307.5,0.399102,-0.07628900000000005,0.022468299999999886,0.36236,0.0048479999999999634,0.016736299999999815,0.380158,0.0048479999999999634,0.01667329999999989,0.362906,-0.016912000000000038,0.022468299999999886,0.358625,0.0048479999999999634,0.022468299999999886,0.359816,-0.016926999999999914,0.022468299999999886,3.9775317,3.995152
308.0,0.397679,0.0,0.025133299999999803,0.36096,0.0,-0.007918700000000278,0.378812,0.0,0.025133299999999803,0.361539,0.0,-0.08613369999999998,0.357346,0.0,0.025133299999999803,0.358525,0.0,0.025133299999999803,3.9748667,4.0
308.5,0.396067,0.012563666999999779,-0.06685730000000012,0.359647,0.012563666999999779,-0.04373629999999995,0.377436,-0.020472333000000287,0.003808699999999998,0.360214,0.012563666999999779,0.003808699999999998,0.35608,0.012563666999999779,0.003808699999999998,0.357567,0.012563666999999779,-0.010751299999999908,3.9961913,3.987436333
309.0,0.394149,0.016343333000000015,0.017388299999999912,0.358111,0.016343333000000015,0.017388299999999912,0.375932,0.016343333000000015,0.011706299999999725,0.358958,0.016343333000000015,0.017388299999999912,0.354824,0.016343333000000015,-0.09436070000000019,0.356043,0.0018413330000002226,0.017388299999999912,3.9826117,3.983656667
309.5,0.39292,0.0,0.014070999999999945,0.356953,-0.00563799999999981,0.014070999999999945,0.375104,0.0,0.014070999999999945,0.357591,0.0,0.014070999999999945,0.353714,0.0,-0.02462300000000006,0.355026,0.0,-0.00040400000000007097,3.985929,4.0
310.0,0.391596,0.011004999999999932,0.020731699999999798,0.355753,-0.00341400000000025,0.020731699999999798,0.373987,0.011004999999999932,0.0038196999999997594,0.356732,0.011004999999999932,0.020731699999999798,0.353211,0.011004999999999932,-0.02257330000000035,0.354213,0.011004999999999932,0.020731699999999798,3.9792683,3.988995
310.5,0.390385,0.02807000000000004,0.009243699999999855,0.354685,-0.004900999999999822,-0.051455300000000204,0.372686,0.02807000000000004,0.0036116999999999955,0.355768,0.02807000000000004,0.003597699999999815,0.352015,0.02807000000000004,0.009243699999999855,0.353134,0.02807000000000004,0.009243699999999855,3.9907563,3.97193
