Wavelength,0%,10%,20%,30%,40%,50%,60%,70%
300,3.994946,4,3.994916,4,3.983605,4,4,4
300.5,4,4,4,4,4,4,4,4
301,4,3.961903,4,3.953994,4,4,4,4
301.5,3.951279,3.994624,4,4,4,3.988476,4,4
302,4,4,4,3.988287,3.91937,3.982591,3.994311,3.977106
302.5,4,4,4,4,3.938857,3.988025,3.974016,3.954894
303,4,4,4,4,4,4,3.982669,4
303.5,3.981367,4,4,4,4,3.960311,3.981412,4
304,3.973475,3.993665,4,3.987491,3.97765,4,3.987596,3.993558
304.5,4,4,4,4,3.98719,4,3.987198,3.959949
305,4,4,4,4,3.95446,4,3.928893,3.954364
305.5,4,3.993036,4,3.927621,3.987014,4,4,3.962138
306,4,4,3.945164,3.994231,4,3.9543,3.958043,3.940286
306.5,4,4,4,3.907399,4,4,4,3.978148
307,4,3.937189,4,4,3.988622,3.845797,4,3.94771
307.5,3.956589,4,3.819392,4,3.994308,3.966481,3.994315,3.94771
308,4,3.994376,3.994374,4,3.948822,4,4,4
308.5,3.952648,4,4,4,4,4,3.954434,3.952468
309,3.965638,3.980037,4,3.947872,3.979954,3.985577,3.939999,4
309.5,4,4,4,3.985627,4,3.958206,4,4
310,4,3.924006,3.947972,4,4,3.994435,4,4
310.5,3.96246,4,3.917045,4,4,3.994435,3.994504,4
311,4,4,4,3.915017,3.94231,4,4,4
311.5,3.967158,4,3.985716,3.956991,4,3.90391,4,3.934811
312,4,3.962524,4,3.886593,3.939569,3.978492,3.913449,3.962452
312.5,4,4,4,3.967175,4,4,3.989001,4
313,4,4,3.950926,4,3.994538,4,3.925252,4
313.5,3.985717,4,4,4,3.909777,4,4,4
314,4,3.94791,3.947922,3.951217,3.967081,4,4,4
314.5,3.994361,3.94791,3.978428,3.994398,4,4,3.896266,3.926126
315,3.994361,4,3.954391,3.958153,3.979896,3.985506,3.911128,4
315.5,3.966897,4,3.954391,4,4,3.878027,4,4
316,4,4,4,3.93896,3.985376,4,3.978184,4
316.5,4,4,4,4,3.940163,4,4,3.901284
317,4,3.944531,3.994004,3.985131,3.97806,3.993998,3.963149,4
317.5,4,4,3.99387,4,4,3.966478,3.993822,4
318,3.977699,3.993744,4,3.965357,4,4,3.925202,4
318.5,4,4,4,4,3.993502,3.946125,3.953668,3.971385
319,3.984519,4,4,3.986627,3.946738,3.966047,4,3.905282
319.5,4,4,3.99317,4,3.946738,3.977185,3.934364,3.984393
320,4,3.965618,4,4,4,3.993016,3.91422,4
320.5,4,3.99278,4,3.935233,3.953693,3.992751,3.848272,4
321,4,4,4,3.935835,4,3.983677,3.960443,3.936796
321.5,3.983604,4,4,4,4,3.983677,4,3.96004
322,3.962182,4,3.992026,4,3.962063,3.959996,4,4
322.5,3.921268,4,4,3.975069,3.925786,3.951546,4,3.975814
323,4,3.955563,4,4,3.975556,3.99173,4,4
323.5,3.991452,4,4,4,4,3.97542,3.807414,3.975484
324,4,4,4,3.982461,4,4,4,4
324.5,4,4,3.990713,4,3.944303,4,3.859073,4
325,4,4,3.990713,4,4,4,3.867973,4
325.5,4,3.974411,4,4,3.93715,3.928616,4,3.924546
326,4,4,4,3.936563,4,4,3.981105,4
326.5,4,4,3.97917,4,3.98967,4,4,3.961745
327,3.980493,4,4,4,4,3.953201,4,3.978492
327.5,4,4,3.956938,4,3.9528,4,3.966889,4
328,4,4,3.972815,4,3.988638,3.972803,4,4
328.5,3.972407,4,4,3.979509,3.908869,3.979698,4,4
329,4,4,4,4,3.93624,3.972139,4,4
329.5,3.999216,3.999042,4,4,4,3.898809,3.987845,4
330,4,3.999042,3.987489,4,3.970323,3.946612,3.986211,3.965447
330.5,3.971104,3.826163,4,3.958235,3.945882,4,3.77108,4
331,3.971104,4,3.964695,3.996588,4,4,3.940202,4
331.5,4,3.997936,3.97058,4,4,3.948108,4,3.914307
332,4,3.96417,4,3.878835,3.963948,3.986296,4,3.970137
332.5,4,3.985885,4,3.953763,3.985803,3.916882,3.949543,3.985816
333,3.976577,4,4,3.920178,4,4,4,4
333.5,4,4,4,3.961701,4,4,3.808814,3.915198
334,3.984763,4,4,4,4,3.984663,3.906983,3.957584
334.5,4,3.984452,3.964368,3.984458,3.962198,4,3.913439,3.96823
335,4,4,4,3.995631,3.962198,4,3.937582,3.927299
335.5,4,4,4,3.918126,3.995085,3.908353,4,3.950116
336,4,3.974763,3.936148,3.923998,4,3.928696,3.983515,4
336.5,3.946742,3.97415,4,4,3.994594,3.933827,4,4
337,3.946742,3.97415,4,4,3.885356,4,3.922073,4
337.5,4,3.955123,4,3.948771,4,3.887038,4,3.955137
338,4,4,3.938805,3.981855,4,3.928463,4,3.965936
338.5,3.965637,3.898456,3.972597,4,4,3.93814,4,4
339,3.941502,3.972385,3.888748,3.924649,3.981251,3.945107,3.953555,3.972406
339.5,4,3.992147,4,3.837972,3.972131,3.828889,4,3.972013
340,4,3.882774,4,3.997133,3.872852,4,4,4
340.5,4,4,4,3.979182,3.96997,4,4,3.937703
341,4,3.954686,4,3.998016,3.930515,4,3.970567,4
341.5,3.971046,3.949056,3.982562,4,3.914467,4,4,3.937331
342,4,3.982873,3.982652,4,3.926009,3.932158,4,3.903883
342.5,4,4,4,3.983145,4,4,4,3.98305
343,3.895457,3.999724,3.97232,4,3.999764,4,3.972177,4
343.5,3.999941,4,3.984021,3.89353,3.983907,3.972636,3.912261,4
344,4,4,3.964176,3.882906,4,3.98429,3.964118,3.972939
344.5,3.951667,3.919663,3.985126,4,3.878828,3.964722,4,3.946017
345,3.951667,3.952085,3.974061,4,3.783434,3.965194,4,4
345.5,4,3.917838,3.965755,3.97438,3.948373,3.94241,4,4
346,4,3.986111,4,3.915433,3.938796,4,4,3.986045
346.5,3.975091,3.866215,3.986609,3.80858,3.830751,4,3.93293,4
347,4,4,3.953432,3.91563,3.966707,4,3.92608,4
347.5,3.975878,3.855618,4,3.792456,4,4,3.837601,4
348,3.936386,3.930469,4,3.858034,3.960253,3.960326,3.640313,3.987633
348.5,3.88445,4,3.976538,3.954465,3.976737,4,4,3.967641
349,4,3.960731,3.976976,3.976812,3.708726,3.943143,4,3.886636
349.5,3.949824,3.954405,3.943674,3.945301,4,3.96112,3.988427,3.891954
350,4,4,3.96156,3.823178,3.966358,4,3.933073,4
350.5,4,3.969101,4,3.961605,3.988983,4,3.924587,4
351,4,4,4,4,4,3.961953,4,3.978053
351.5,3.928917,3.978348,3.891992,4,4,4,4,4
352,3.978486,3.907707,4,4,4,3.951195,3.969711,3.989964
352.5,4,3.978766,4,4,3.978798,4,4,3.916771
353,4,3.957047,3.916452,4,4,4,3.978992,4
353.5,4,4,4,4,3.963302,4,4,3.89665
354,3.979382,4,4,3.979477,3.970596,4,4,3.922264
354.5,3.97963,3.957507,4,4,3.943336,4,3.979645,3.886395
355,4,4,4,4,4,3.96378,3.970939,4
355.5,4,3.943737,4,4,4,4,4,4
356,3.942411,4,3.944021,3.942524,3.929206,4,3.900655,3.963939
356.5,3.938124,4,3.991402,3.99147,3.964068,4,3.964118,4
357,4,3.971416,4,3.883696,4,3.964183,4,3.851012
357.5,3.90507,3.958124,3.852707,3.958126,4,3.958137,4,3.909653
358,4,3.964218,3.899924,3.991613,3.991629,4,3.949755,3.960436
358.5,4,4,3.952883,3.913987,3.991644,3.991591,3.991624,3.971445
359,4,4,4,4,3.875156,3.980237,3.913961,4
359.5,4,3.971338,4,4,3.902024,3.96294,4,3.843992
360,4,3.927952,4,4,4,4,3.980102,4
360.5,4,4,4,3.949164,3.937849,3.927989,3.91516,4
361,3.971015,4,3.963752,4,3.979848,3.943671,3.991196,3.957729
361.5,3.979669,3.92718,3.915939,4,4,3.952988,4,3.836813
362,3.943289,3.920628,3.915696,3.927274,3.913567,4,4,3.910797
362.5,3.909539,3.920557,4,3.820325,4,4,3.94247,4
363,3.892498,3.956765,4,3.979067,4,4,3.930684,4
363.5,4,4,4,3.97874,3.82933,4,4,4
364,4,4,4,3.962173,4,3.864414,4,3.978277
364.5,3.945797,4,4,3.920635,3.945842,3.969189,4,3.977769
365,3.967357,3.883781,3.961542,3.945764,4,3.929095,3.934907,3.673739
365.5,3.819044,3.911738,3.98403,4,3.932494,3.962267,3.95213,3.931921
366,3.930809,3.944958,3.881572,3.821954,4,3.981188,4,3.770005
366.5,3.985174,4,3.860712,3.913983,4,3.992941,4,3.950844
367,3.855999,4,4,3.928451,3.842317,3.809751,3.954112,3.80779
367.5,3.887978,3.910094,3.964369,4,3.98407,3.790759,3.634114,3.630228
368,3.931843,3.978011,3.962441,3.987058,3.895938,3.896191,4,3.922799
368.5,3.964191,3.959643,3.98618,3.938752,4,3.92998,3.977797,3.544162
369,3.987872,3.971115,3.902546,3.960176,3.908344,4,3.909047,3.92761
369.5,3.961404,3.90377,3.719145,3.955994,3.955473,3.894586,3.897564,3.956755
370,3.934678,3.989223,3.932978,3.989235,3.970001,3.942833,3.969954,3.973429
370.5,3.930879,3.967722,3.989778,3.990021,3.948207,3.981105,4,3.95523
371,3.92938,3.80873,3.915466,3.934361,3.927071,3.898308,4,4
371.5,3.960557,3.923093,4,3.934104,4,3.955222,3.959515,3.955517
372,3.960101,3.936356,4,3.838688,4,4,3.930675,3.890852
372.5,3.896418,3.877898,3.952885,3.900227,3.864604,3.976667,3.849619,3.948876
373,3.970091,4,4,3.921379,3.956641,4,3.910794,4
373.5,4,3.94374,3.962654,3.869298,3.971803,4,4,3.97191
374,4,4,4,3.98329,3.964102,3.988849,3.985546,3.956978
374.5,4,4,4,3.934462,3.947324,4,3.95786,3.930999
375,3.946665,3.836951,3.923352,4,3.973347,3.955562,4,4
375.5,4,3.927171,3.920931,3.940741,3.883242,3.964926,3.962305,3.927018
376,4,3.974886,4,3.921378,4,3.966187,3.985009,3.842129
376.5,3.988697,3.909971,3.954604,3.997439,3.981739,3.96181,3.975521,4
377,3.847973,3.770189,3.908338,3.930023,3.96246,3.96181,3.880244,4
377.5,3.982664,3.893354,3.981958,3.841992,3.961773,4,3.98156,3.982737
