Wavelength,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,0%H,10%H,20%H,30%H,40%H,50%H,60%H,70%H,80%H,90%H,100%H,0%V,10%V,20%V,30%V,40%V,50%V,60%V,70%V,80%V,90%V,100%V,V_baseline,H_baseline
300.0,,,,,,,,,,,,0.0,0.0,-0.04737100000000005,0.0,0.0,0.0,0.0,0.0,0.0,-0.04760600000000004,-1.145158,0.0,0.0,0.0,0.0,0.0,-0.005199999999999871,0.0,-0.06744299999999992,0.0,-0.08731799999999978,-0.314562,4.0,4.0
300.5,,,,,,,,,,,,0.0,-0.0464380000000002,-0.0844640000000001,0.0,0.0,0.0,0.0,0.0,0.0,-0.09057199999999987,-0.8017629999999998,0.026298699999999897,0.026298699999999897,-0.01758930000000003,0.026298699999999897,0.026298699999999897,-0.0001293000000002209,0.026298699999999897,0.026298699999999897,0.026298699999999897,-0.011612299999999909,-0.6519123000000002,3.9737013,4.0
301.0,,,,,,,,,,,,-0.04807633300000003,-0.06065633299999984,0.007132667000000037,-0.009568332999999818,-0.009662333000000078,0.007132667000000037,-0.00967533300000012,0.007132667000000037,-0.027133333000000093,-0.07796133299999974,-0.4669323329999999,0.005585700000000138,0.005585700000000138,-0.005841299999999716,0.00016370000000032192,0.005585700000000138,0.005585700000000138,0.005585700000000138,-0.005965299999999729,0.005585700000000138,-0.04202529999999971,-1.4075762999999997,3.9944143,3.992867333
301.5,,,,,,,,,,,,-0.020312333000000127,0.010985666999999921,0.010985666999999921,0.010985666999999921,0.010985666999999921,0.010985666999999921,0.010985666999999921,0.010985666999999921,-0.019132332999999946,-0.19609933300000026,-0.9950653329999999,0.013762299999999783,0.019243299999999852,-0.019213700000000333,0.019243299999999852,0.0076432999999997975,-0.006449700000000114,0.019243299999999852,0.0076312999999998965,0.0006873000000000573,-0.010905700000000351,-0.8702747,3.9807567,3.989014333
302.0,,,,,,,,,,,,0.007215667000000092,0.007215667000000092,0.007215667000000092,0.007215667000000092,0.007215667000000092,-0.0046603329999999055,0.007215667000000092,0.007215667000000092,0.007215667000000092,-0.3777203330000001,-0.49041933299999974,0.0,-0.04359000000000002,-0.06138500000000002,-0.03634000000000004,-0.01715499999999981,0.0,0.0,-0.0259999999999998,0.0,-0.12197300000000011,-0.6846559999999999,4.0,3.992784333
302.5,,,,,,,,,,,,0.003986666999999944,-0.0020013329999999385,-0.025327332999999896,0.003986666999999944,0.003986666999999944,0.003986666999999944,-0.03784233299999995,0.003986666999999944,0.003986666999999944,-0.4163483330000002,-1.0677373330000002,0.03372030000000015,-0.001909699999999681,-0.0018926999999999694,-0.0056066999999999645,0.03372030000000015,0.03372030000000015,0.03372030000000015,-0.00030770000000002184,0.03372030000000015,-0.016074699999999886,-0.7758776999999997,3.9662797,3.996013333
303.0,,,,,,,,,,,,-0.01749799999999979,0.0,-0.05007299999999981,0.0,0.0,0.0,0.0,0.0,0.0,-0.12653099999999995,-0.2647529999999998,0.03569500000000003,0.03569500000000003,0.03569500000000003,0.03569500000000003,0.03569500000000003,0.03569500000000003,0.03569500000000003,0.03569500000000003,0.03569500000000003,0.016245000000000065,-1.100593,3.964305,4.0
303.5,,,,,,,,,,,,0.0,0.0,-0.01246500000000017,0.0,0.0,-0.012453999999999965,-0.022266999999999815,0.0,0.0,-0.030664999999999942,-0.38100500000000004,0.009593000000000185,0.009593000000000185,0.009593000000000185,0.009593000000000185,0.009593000000000185,0.009593000000000185,0.009593000000000185,0.009593000000000185,0.009593000000000185,-0.09016499999999983,-1.3248129999999998,3.990407,4.0
304.0,,,,,,,,,,,,0.0016293329999998996,0.008132332999999825,-0.0045676670000003305,0.008132332999999825,-0.018553667000000384,0.008132332999999825,0.008132332999999825,0.008132332999999825,0.008132332999999825,-0.16961766700000025,-0.9054986670000003,0.02525030000000017,0.0027543000000003204,0.02525030000000017,-0.013972699999999616,-0.0015566999999996334,0.02525030000000017,0.02525030000000017,0.02525030000000017,0.01813430000000027,0.01819430000000022,-0.9854927,3.9747497,3.991867667
304.5,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02763900000000019,-0.11365200000000009,-0.42519399999999985,-0.04289399999999999,0.0,-0.006816000000000155,0.0,-0.05752200000000007,0.0,0.0,0.0,0.0,-0.07201600000000008,-0.3528310000000001,4.0,4.0
305.0,,,,,,,,,,,,-0.006828000000000056,-0.09826900000000016,-0.012932000000000166,-0.12937300000000018,0.0,0.0,0.0,0.0,0.0,-0.29749099999999995,-0.8599760000000001,0.018171999999999855,0.005198999999999732,0.0113559999999997,0.018171999999999855,-0.012646000000000157,0.018171999999999855,0.018171999999999855,0.018171999999999855,0.017666999999999877,-0.0031010000000000204,-1.25096,3.981828,4.0
305.5,,,,,,,,,,,,-0.07516999999999996,-0.03787399999999996,0.0,-0.023013000000000172,0.0,0.0,0.0,0.0,0.0,-0.31540500000000016,-0.7651500000000002,-0.01284200000000002,0.0,-0.007057999999999787,0.0,0.0,-0.03320599999999985,0.0,0.0,-0.0005049999999999777,-0.20825000000000005,-1.2354180000000001,4.0,4.0
306.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,-0.027927000000000035,0.0,0.0,-0.036560999999999844,-0.061284000000000116,-0.2658140000000002,-0.635399,0.05058700000000016,0.05058700000000016,0.05058700000000016,-0.02521299999999993,0.008555000000000312,0.05058700000000016,0.05058700000000016,0.05058700000000016,0.05058700000000016,-0.2013689999999997,-0.17674699999999977,3.949413,4.0
