Wavelength,0%,10%,20%,30%,40%,50%,60%,70%,0%H,10%H,20%H,30%H,40%H,50%H,60%H,70%H,0%V,10%V,20%V,30%V,40%V,50%V,60%V,70%V,V_baseline,H_baseline
300.0,0.457216,0.478148,0.481228,0.469332,0.473833,0.45862,0.451199,0.438377,0.0,0.0,-0.23100500000000013,-0.016179000000000165,0.0,-0.021078999999999848,0.0,0.0,-0.005053999999999892,0.0,-0.0050840000000000884,0.0,-0.01639500000000016,0.0,0.0,0.0,4.0,4.0
300.5,0.454941,0.4762,0.479324,0.467723,0.472249,0.457361,0.449795,0.436902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010556999999999928,0.026298699999999897,0.026298699999999897,0.026298699999999897,0.026298699999999897,0.026298699999999897,0.026298699999999897,0.026298699999999897,0.026298699999999897,3.9737013,4.0
301.0,0.452624,0.473706,0.477346,0.465742,0.470621,0.455572,0.448298,0.435505,0.007132667000000037,0.007132667000000037,0.007132667000000037,-0.025573333000000087,0.007132667000000037,-0.014133332999999748,0.007132667000000037,-0.018384332999999753,0.005585700000000138,-0.03251129999999991,0.005585700000000138,-0.040420300000000076,0.005585700000000138,0.005585700000000138,0.005585700000000138,0.005585700000000138,3.9944143,3.992867333
301.5,0.450214,0.471376,0.475248,0.463898,0.468571,0.453607,0.4467,0.433996,0.010985666999999921,-0.01848833300000008,-0.020235333000000022,0.010985666999999921,0.010985666999999921,0.010985666999999921,-0.005850333000000152,-0.0006003329999999529,-0.029477700000000162,0.013867299999999805,0.019243299999999852,0.019243299999999852,0.019243299999999852,0.0077192999999997625,0.019243299999999852,0.019243299999999852,3.9807567,3.989014333
302.0,0.447382,0.469059,0.472873,0.461861,0.466757,0.45198,0.444896,0.432539,0.007215667000000092,-0.022258332999999908,0.007215667000000092,0.007215667000000092,0.007215667000000092,0.007215667000000092,0.007215667000000092,-0.042052333,0.0,0.0,0.0,-0.011712999999999862,-0.0806300000000002,-0.017408999999999786,-0.005688999999999833,-0.02289399999999997,4.0,3.992784333
302.5,0.444981,0.466742,0.470916,0.460128,0.46514,0.450401,0.443298,0.431069,0.003986666999999944,0.003986666999999944,0.003986666999999944,0.003986666999999944,-0.03538633299999994,0.003986666999999944,0.003986666999999944,0.003986666999999944,0.03372030000000015,0.03372030000000015,0.03372030000000015,0.03372030000000015,-0.0274226999999998,0.02174530000000008,0.007736300000000362,-0.011385699999999943,3.9662797,3.996013333
303.0,0.442506,0.464512,0.469084,0.458335,0.463474,0.448767,0.442076,0.42948,0.0,0.0,-0.005949000000000204,0.0,-0.005984000000000211,0.0,0.0,0.0,0.03569500000000003,0.03569500000000003,0.03569500000000003,0.03569500000000003,0.03569500000000003,0.03569500000000003,0.018364000000000047,0.03569500000000003,3.964305,4.0
303.5,0.440283,0.462391,0.467157,0.456538,0.461714,0.447407,0.440676,0.428142,0.0,0.0,0.0,0.0,-0.006241000000000163,0.0,0.0,0.0,-0.009039999999999715,0.009593000000000185,0.009593000000000185,0.009593000000000185,0.009593000000000185,-0.0300959999999999,-0.008994999999999642,0.009593000000000185,3.990407,4.0
304.0,0.437786,0.46029,0.465319,0.454805,0.459852,0.4456,0.439061,0.426627,0.008132332999999825,0.008132332999999825,0.008132332999999825,0.008132332999999825,0.008132332999999825,0.008132332999999825,-0.004496667000000176,0.008132332999999825,-0.00127469999999974,0.01891530000000019,0.02525030000000017,0.012741300000000066,0.0029003000000003,0.02525030000000017,0.012846300000000088,0.018808300000000333,3.9747497,3.991867667
304.5,0.435555,0.45842,0.463347,0.453222,0.45863,0.444157,0.437666,0.42551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012809999999999988,0.0,-0.012802000000000202,-0.04005100000000006,4.0,4.0
305.0,0.433648,0.45649,0.461628,0.451735,0.457194,0.44271,0.436251,0.424156,0.0,0.0,-0.006743999999999861,-0.018226999999999993,0.0,0.0,0.0,0.0,0.018171999999999855,0.018171999999999855,0.018171999999999855,0.018171999999999855,-0.02736800000000006,0.018171999999999855,-0.052935000000000176,-0.027464000000000155,3.981828,4.0
305.5,0.431679,0.454747,0.45982,0.450189,0.455499,0.441791,0.43479,0.422886,0.0,0.0,-0.01830899999999991,0.0,0.0,-0.03311900000000012,0.0,0.0,0.0,-0.00696399999999997,0.0,-0.0723790000000002,-0.012986000000000164,0.0,0.0,-0.03786200000000006,4.0,4.0
306.0,0.429523,0.452769,0.457708,0.448337,0.453032,0.44139,0.432722,0.421411,0.0,-0.021758999999999862,0.0,0.0,0.0,0.0,0.0,0.0,0.05058700000000016,0.05058700000000016,-0.004248999999999725,0.044818000000000247,0.05058700000000016,0.004887000000000086,0.008630000000000138,-0.009126999999999885,3.949413,4.0
306.5,0.427663,0.451098,0.456314,0.447185,0.45184,0.440269,0.431396,0.420312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013987699999999936,0.013987699999999936,0.013987699999999936,-0.07861330000000022,0.013987699999999936,0.013987699999999936,0.013987699999999936,-0.007864300000000046,3.9860123,4.0
307.0,0.425678,0.449717,0.45458,0.445845,0.450521,0.438573,0.430213,0.418962,0.027829000000000104,0.027829000000000104,0.027829000000000104,-0.024429000000000034,0.027829000000000104,0.027829000000000104,0.027829000000000104,-0.11290299999999975,0.016054299999999966,-0.046756699999999984,0.016054299999999966,0.016054299999999966,0.004676299999999856,-0.1381486999999999,0.016054299999999966,-0.036235700000000204,3.9839457,3.972171
307.5,0.424224,0.447987,0.453277,0.444555,0.449014,0.437781,0.4291,0.418205,0.0048479999999999634,0.0048479999999999634,0.0048479999999999634,-0.01685300000000023,0.0048479999999999634,0.0048479999999999634,0.0048479999999999634,-0.03453799999999996,-0.02094269999999998,0.022468299999999886,-0.1581397,0.022468299999999886,0.016776300000000077,-0.011050700000000191,0.016783299999999723,-0.029821700000000284,3.9775317,3.995152
308.0,0.422443,0.446449,0.451949,0.443364,0.448079,0.436617,0.427807,0.416996,0.0,-0.04220300000000021,-0.02729500000000007,-0.04332400000000014,-0.04226300000000016,-0.02164400000000022,0.0,-0.03775700000000004,0.025133299999999803,0.01950929999999973,0.019507299999999894,0.025133299999999803,-0.026044700000000365,0.025133299999999803,0.025133299999999803,0.025133299999999803,3.9748667,4.0
308.5,0.421009,0.444839,0.450544,0.441939,0.44683,0.43521,0.426898,0.415777,0.012563666999999779,-0.014674333000000317,-0.06977633300000008,0.012563666999999779,0.006898666999999747,0.012563666999999779,-0.015180333000000434,0.012563666999999779,-0.04354330000000006,0.003808699999999998,0.003808699999999998,0.003808699999999998,0.003808699999999998,0.003808699999999998,-0.0417573,-0.04372329999999991,3.9961913,3.987436333
309.0,0.419596,0.443328,0.449309,0.440615,0.445517,0.434196,0.425801,0.414777,0.016343333000000015,0.016343333000000015,0.016343333000000015,-0.005294666999999809,0.01070233300000023,0.016343333000000015,0.0019183329999998833,0.016343333000000015,-0.01697369999999987,-0.002574700000000263,0.017388299999999912,-0.03473970000000026,-0.002657699999999874,0.0029653000000000596,-0.04261270000000028,0.017388299999999912,3.9826117,3.983656667
309.5,0.418009,0.442301,0.448076,0.439543,0.444662,0.43338,0.42504,0.414179,0.0,-0.0215749999999999,0.0,0.0,0.0,-0.014364000000000043,-0.038844999999999796,-0.014456000000000024,0.014070999999999945,0.014070999999999945,0.014070999999999945,-0.00030200000000002447,0.014070999999999945,-0.027722999999999942,0.014070999999999945,0.014070999999999945,3.985929,4.0
