Wavelength,Test1,Test2,Test3,Average
379.5,3.615324,3.871607,3.851816,3.779582333
380,3.737452,3.581902,3.602118,3.640490667
380.5,3.599595,3.280577,3.501701,3.460624333
381,3.386207,3.241512,3.261833,3.296517333
381.5,3.198681,3.163249,3.137781,3.166570333
382,3.043986,3.026231,2.952397,3.007538
382.5,2.850514,2.855002,2.842444,2.84932
383,2.767109,2.753085,2.74574,2.755311333
383.5,2.639061,2.631809,2.62566,2.632176667
384,2.5134,2.512233,2.512759,2.512797333
384.5,2.387208,2.409899,2.396699,2.397935333
385,2.282157,2.288065,2.280378,2.283533333
385.5,2.17095,2.18065,2.184618,2.178739333
386,2.078318,2.081053,2.081871,2.080414
386.5,1.98203,1.988126,1.990113,1.986756333
387,1.893583,1.891999,1.893834,1.893138667
387.5,1.803467,1.803403,1.798038,1.801636
388,1.714406,1.714307,1.711207,1.713306667
388.5,1.631667,1.629271,1.626845,1.629261
389,1.553707,1.553857,1.549617,1.552393667
389.5,1.486028,1.483064,1.480767,1.483286333
390,1.414637,1.412857,1.412322,1.413272
390.5,1.348703,1.3471,1.346346,1.347383
391,1.286687,1.285029,1.285592,1.285769333
391.5,1.227377,1.225907,1.226326,1.226536667
392,1.175426,1.173332,1.176676,1.175144667
392.5,1.124138,1.122614,1.125117,1.123956333
393,1.073415,1.072799,1.074483,1.073565667
393.5,1.02403,1.023803,1.024879,1.024237333
394,0.97738,0.977943,0.978568,0.9779636667
394.5,0.93364,0.934073,0.934979,0.9342306667
395,0.896505,0.896366,0.896599,0.89649
395.5,0.857896,0.857024,0.857158,0.8573593333
396,0.82028,0.819489,0.819875,0.8198813333
396.5,0.7857,0.785024,0.78517,0.785298
397,0.754103,0.753126,0.753605,0.7536113333
397.5,0.724128,0.722861,0.72361,0.723533
398,0.697966,0.696544,0.697405,0.697305
398.5,0.670976,0.669989,0.670692,0.6705523333
399,0.646665,0.645804,0.646673,0.6463806667
399.5,0.624152,0.62356,0.624433,0.6240483333
400,0.603887,0.603576,0.604756,0.604073
400.5,0.584775,0.584693,0.586074,0.5851806667
401,0.566661,0.566964,0.568579,0.5674013333
401.5,0.550313,0.550694,0.552093,0.5510333333
402,0.535903,0.536204,0.537615,0.536574
402.5,0.5237,0.523886,0.524925,0.5241703333
403,0.511067,0.511249,0.5124,0.511572
403.5,0.499326,0.499549,0.500502,0.4997923333
404,0.48896,0.489132,0.489926,0.4893393333
404.5,0.479571,0.479669,0.480597,0.4799456667
405,0.471194,0.471286,0.472235,0.4715716667
405.5,0.463705,0.463668,0.464624,0.463999
406,0.456487,0.456425,0.457633,0.4568483333
406.5,0.44986,0.449804,0.45085,0.4501713333
407,0.44381,0.443759,0.444677,0.444082
407.5,0.438323,0.438225,0.439245,0.4385976667
