Wavelength,Test 1,Test 2,Test 3,Average
346.0000000,3.9858800,4.0000000,4.0000000,3.9952933
346.5000000,3.9142580,4.0000000,4.0000000,3.9714193
347.0000000,3.8515710,3.9484750,3.9220070,3.9073510
347.5000000,3.9481950,4.0000000,3.9666990,3.9716313
348.0000000,4.0000000,3.9209340,4.0000000,3.9736447
348.5000000,3.9280120,3.9765140,4.0000000,3.9681753
349.0000000,3.8994150,3.9766000,4.0000000,3.9586717
349.5000000,3.9680640,3.9563810,4.0000000,3.9748150
350.0000000,4.0000000,3.9886290,4.0000000,3.9962097
350.5000000,3.9889090,4.0000000,3.8406490,3.9431860
351.0000000,4.0000000,3.9312820,3.9378690,3.9563837
351.5000000,3.9893340,4.0000000,3.9418400,3.9770580
352.0000000,3.9695700,3.9694690,4.0000000,3.9796797
352.5000000,3.9564780,3.9251720,4.0000000,3.9605500
353.0000000,3.9270090,4.0000000,4.0000000,3.9756697
353.5000000,3.9428090,3.9791510,3.9102080,3.9440560
354.0000000,4.0000000,4.0000000,3.9905930,3.9968643
354.5000000,3.8994880,4.0000000,4.0000000,3.9664960
355.0000000,4.0000000,3.9794990,4.0000000,3.9931663
355.5000000,4.0000000,3.9821030,4.0000000,3.9940343
356.0000000,3.9798570,3.9710250,4.0000000,3.9836273
356.5000000,4.0000000,3.9598360,3.9824580,3.9807647
357.0000000,3.9440480,4.0000000,3.8504200,3.9314893
357.5000000,4.0000000,4.0000000,4.0000000,4.0000000
358.0000000,3.9640920,4.0000000,3.9579550,3.9740157
358.5000000,3.9715230,3.9712660,3.8607540,3.9345143
359.0000000,3.9800390,4.0000000,4.0000000,3.9933463
359.5000000,3.8632330,3.9913140,4.0000000,3.9515157
360.0000000,4.0000000,4.0000000,3.9798820,3.9932940
360.5000000,3.9389390,3.9798120,4.0000000,3.9729170
361.0000000,3.9911140,3.9575640,3.9910350,3.9799043
361.5000000,3.9707760,3.9634620,3.9616130,3.9652837
362.0000000,3.9793800,4.0000000,3.9632700,3.9808833
362.5000000,3.9569760,3.9492040,3.9427260,3.9496353
363.0000000,4.0000000,3.9789370,3.9215630,3.9668333
363.5000000,4.0000000,3.9897550,3.9695270,3.9864273
364.0000000,3.9789200,4.0000000,3.9695270,3.9828157
364.5000000,3.9893740,3.9616480,4.0000000,3.9836740
365.0000000,4.0000000,3.8582750,4.0000000,3.9527583
365.5000000,3.9180440,3.6239490,3.9838180,3.8419370
366.0000000,3.9010260,3.6592450,3.8332620,3.7978443
366.5000000,3.9013210,3.9581290,3.7278860,3.8624453
367.0000000,3.8224650,3.9154850,3.9095200,3.8824900
367.5000000,3.9414980,3.8172150,3.8873000,3.8820043
368.0000000,3.9974780,3.8810130,3.8645950,3.9143620
368.5000000,3.9414580,3.9124160,3.7959230,3.8832657
369.0000000,3.9116620,3.8234450,3.8718310,3.8689793
369.5000000,3.9545030,3.9434980,3.8599570,3.9193193
370.0000000,3.9292890,3.9695300,3.9093510,3.9360567
370.5000000,3.9071760,3.9787820,4.0000000,3.9619860
371.0000000,3.9717520,3.7123050,3.9899180,3.8913250
371.5000000,3.8506430,3.8057310,3.9585840,3.8716527
372.0000000,3.7025130,3.9386950,3.9448150,3.8620077
372.5000000,3.8638270,3.8635200,3.9762630,3.9012033
373.0000000,3.7481810,4.0000000,3.9052170,3.8844660
373.5000000,3.8097610,3.9657290,3.8486900,3.8747267
374.0000000,3.7946480,3.8944830,3.9517330,3.8802880
374.5000000,3.9009950,3.9370050,3.9654370,3.9344790
375.0000000,3.9373020,3.8833970,3.9473000,3.9226663
375.5000000,3.8979020,3.8967540,3.9291620,3.9079393
376.0000000,3.9165480,3.8330240,3.9557030,3.9017583
376.5000000,3.9666680,3.8086030,3.7776510,3.8509740
377.0000000,3.8237670,3.7703900,3.9648960,3.8530177
377.5000000,3.7448080,3.8630530,3.7027420,3.7702010
378.0000000,3.9144000,3.8886800,3.7511840,3.8514213
378.5000000,3.8324030,3.7901440,3.9905970,3.8710480
379.0000000,3.6936990,3.7765700,3.8741350,3.7814680
379.5000000,3.7347750,3.6115890,3.7604600,3.7022747
380.0000000,3.6651160,3.4855240,3.5423660,3.5643353
380.5000000,3.4307070,3.4716590,3.5437660,3.4820440
381.0000000,3.3328650,3.3488960,3.5462200,3.4093270
381.5000000,3.1367120,3.1849200,3.2286400,3.1834240
382.0000000,3.1243800,3.1364220,3.0934820,3.1180947
382.5000000,2.9759040,3.0001310,2.9777720,2.9846023
383.0000000,2.8278690,2.8637080,2.8454530,2.8456767
383.5000000,2.7235410,2.7611560,2.7388920,2.7411963
384.0000000,2.6210790,2.6056960,2.5979740,2.6082497
384.5000000,2.4896590,2.4856140,2.4868320,2.4873683
385.0000000,2.3789900,2.3659940,2.3770310,2.3740050
385.5000000,2.2684030,2.2593120,2.2684990,2.2654047
386.0000000,2.1721740,2.1719970,2.1722390,2.1721367
386.5000000,2.0795910,2.0787650,2.0784940,2.0789500
387.0000000,1.9847270,1.9872470,1.9885460,1.9868400
387.5000000,1.8942430,1.8911390,1.8942510,1.8932110
388.0000000,1.8109590,1.8059420,1.8092030,1.8087013
388.5000000,1.7279060,1.7259830,1.7268500,1.7269130
389.0000000,1.6518960,1.6488980,1.6508800,1.6505580
389.5000000,1.5839610,1.5832880,1.5839700,1.5837397
390.0000000,1.5154180,1.5146710,1.5162370,1.5154420
390.5000000,1.4517830,1.4493830,1.4507620,1.4506427
391.0000000,1.3906780,1.3896860,1.3904310,1.3902650
391.5000000,1.3353740,1.3334400,1.3347560,1.3345233
392.0000000,1.2866010,1.2844800,1.2852310,1.2854373
392.5000000,1.2385740,1.2368220,1.2371980,1.2375313
393.0000000,1.1910960,1.1895830,1.1913890,1.1906893
393.5000000,1.1471180,1.1461310,1.1464900,1.1465797
394.0000000,1.1059130,1.1047820,1.1057120,1.1054690
394.5000000,1.0692190,1.0682310,1.0686360,1.0686953
395.0000000,1.0375990,1.0371180,1.0384920,1.0377363
395.5000000,1.0057030,1.0064570,1.0067640,1.0063080
396.0000000,0.9768510,0.9776000,0.9782210,0.9775573
396.5000000,0.9503280,0.9518840,0.9515700,0.9512607
397.0000000,0.9268960,0.9285320,0.9286530,0.9280270
397.5000000,0.9059090,0.9072720,0.9076040,0.9069283
398.0000000,0.8875370,0.8889150,0.8889970,0.8884830
398.5000000,0.8691760,0.8707060,0.8706660,0.8701827
399.0000000,0.8525380,0.8538440,0.8539610,0.8534477
399.5000000,0.8371790,0.8387140,0.8387020,0.8381983
400.0000000,0.8231040,0.8247090,0.8245550,0.8241227
400.5000000,0.8094000,0.8109030,0.8108750,0.8103927
401.0000000,0.7959500,0.7974910,0.7974260,0.7969557
401.5000000,0.7832290,0.7847080,0.7847570,0.7842313
402.0000000,0.7710020,0.7731450,0.7727950,0.7723140
402.5000000,0.7605380,0.7625740,0.7625240,0.7618787
403.0000000,0.7491630,0.7513240,0.7510070,0.7504980
403.5000000,0.7377350,0.7401280,0.7401010,0.7393213
404.0000000,0.7272150,0.7298770,0.7298710,0.7289877
404.5000000,0.7174220,0.7203240,0.7201480,0.7192980
405.0000000,0.7081510,0.7108970,0.7105310,0.7098597
405.5000000,0.6994090,0.7017920,0.7017510,0.7009840
406.0000000,0.6908750,0.6929910,0.6928780,0.6922480
406.5000000,0.6825050,0.6843530,0.6843140,0.6837240
407.0000000,0.6744770,0.6760520,0.6761080,0.6755457
407.5000000,0.6667840,0.6684010,0.6685000,0.6678950
408.0000000,0.6599160,0.6614900,0.6614040,0.6609367
408.5000000,0.6534610,0.6550220,0.6549410,0.6544747
409.0000000,0.6471680,0.6488010,0.6487290,0.6482327
409.5000000,0.6405640,0.6420130,0.6420610,0.6415460
410.0000000,0.6347160,0.6362230,0.6362620,0.6357337
410.5000000,0.6295470,0.6309590,0.6307950,0.6304337
411.0000000,0.6248050,0.6260620,0.6260670,0.6256447
411.5000000,0.6202990,0.6217240,0.6216010,0.6212080
412.0000000,0.6160970,0.6178130,0.6175800,0.6171633
412.5000000,0.6119510,0.6137740,0.6136740,0.6131330
413.0000000,0.6082700,0.6098140,0.6099500,0.6093447
413.5000000,0.6044290,0.6062760,0.6062350,0.6056467
