Wavelength,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
300,4,3.978793,3.932287,4,3.978861,3.956074,3.894594,4,3.44741,4,1.694899
300.5,3.978678,3.978679,3.989369,3.978762,3.936801,3.928313,4,3.958553,3.535813,3.933316,3.301173
301,3.959064,4,4,4,3.935007,3.783425,3.943317,3.825638,3.670824,3.604818,3.383515
301.5,3.970359,3.933754,4,3.961009,3.953425,3.948937,4,3.878735,3.648212,3.862157,1.968955
302,3.994209,4,4,3.994198,3.963797,3.939722,3.978176,3.860827,3.594193,3.716502,3.656153
302.5,4,4,4,4,4,3.890095,3.973912,4,3.500762,4,3.337848
303,4,3.973609,3.923829,4,3.949608,3.906368,3.98782,3.993744,3.421674,4,2.877222
303.5,3.987418,3.993704,4,4,3.965079,3.895256,3.933555,3.948498,3.586732,3.68283,2.158677
304,3.987418,3.993414,4,3.894238,3.915173,3.890405,3.966815,4,3.514204,3.820212,2.920069
304.5,3.98711,3.912749,3.987231,3.973186,3.987279,3.909588,3.913967,4,3.743363,4,4
305,3.956872,4,4,3.993058,3.965791,3.977055,3.969034,3.920861,3.732289,3.904026,2.281606
305.5,3.98677,4,3.98693,4,3.962053,3.892016,3.861176,3.876049,3.594214,3.714109,1.408605
306,3.917503,4,3.822024,4,3.962053,4,3.932882,3.878654,3.501224,3.654149,2.63142
306.5,3.978107,3.954195,3.930087,4,3.8907,3.96676,3.962131,3.95617,3.566373,3.737486,2.239328
307,4,3.954243,4,4,3.87646,3.785503,3.906263,3.8248,3.528119,4,2.048734
307.5,3.985332,3.92021,4,4,3.9522,3.828709,3.901038,3.742369,3.611132,3.675447,3.446553
308,4,3.862926,3.923,3.978229,4,3.780382,3.934542,3.84176,3.314499,3.753117,2.999619
308.5,3.950607,3.933285,3.994286,3.950917,3.994239,3.962226,3.865238,3.908332,3.373048,4,3.360033
309,4,4,3.98546,3.920875,3.985456,4,3.914138,3.966865,3.299944,3.690985,2.90114
309.5,4,3.929178,3.98546,3.985498,4,3.930686,3.925964,3.891391,3.38374,3.529617,4
310,3.921713,3.966901,3.926617,3.886614,3.910917,3.818822,3.966918,3.985467,3.625466,3.568831,3.679368
310.5,4,3.950562,3.898937,3.939276,3.934902,3.901476,4,3.884823,3.450393,3.446535,1.467092
311,3.962315,3.939698,3.936239,3.96702,3.967154,3.763711,3.905397,3.796601,3.511665,3.666983,2.696522
311.5,3.988717,4,3.979998,4,3.93622,3.788185,3.933454,3.972252,3.589215,3.655792,1.578367
312,3.900456,3.962384,3.972342,4,3.952563,3.883129,3.985587,3.912291,3.523697,3.810809,2.773037
312.5,3.994348,4,4,3.994432,3.85558,3.774512,3.978398,3.663377,3.559388,3.530592,3.153976
313,3.911478,3.932821,4,3.971174,3.952691,3.617258,3.933705,4,3.416312,3.426604,2.202028
313.5,3.89879,3.952516,4,3.985577,3.873188,4,3.978355,3.936423,3.501576,3.470162,3.01144
314,3.966516,4,3.91187,3.985577,3.911466,3.972632,3.985516,3.939834,3.523221,3.792291,3.287675
314.5,4,4,3.914252,3.954358,4,3.867817,3.962248,3.839051,3.381384,3.874347,2.766835
315,4,3.84141,3.88471,3.994246,4,4,3.947691,3.868073,3.413208,3.808398,2.712462
315.5,3.994118,3.91025,3.940309,3.948882,4,3.875599,3.962148,3.813213,3.768212,3.659162,4
316,3.868379,3.98529,4,3.947378,3.873685,3.926143,3.950285,3.861691,3.563231,3.654641,2.545455
316.5,3.978922,3.864137,4,3.95592,4,3.944503,3.939995,3.880262,3.455043,3.697974,0.449102
317,3.939601,3.961868,3.97179,3.993843,4,3.971738,3.95398,3.878718,3.409194,3.791728,3.356892
317.5,4,3.961737,4,4,3.969804,3.928003,3.993714,3.879531,3.459883,3.917553,4
318,3.950132,3.91888,4,3.977608,3.82077,3.902653,3.889241,3.99349,3.485547,3.680906,2.545455
318.5,3.955956,4,4,3.978141,4,3.962668,3.858047,3.946844,3.780989,3.702105,3.272727
319,4,3.931509,3.977214,3.93994,3.984401,3.961146,4,4,3.455471,3.705864,2.988324
319.5,4,3.945345,4,3.993018,3.927837,3.830474,3.984159,3.965637,3.384953,3.624685,4
320,3.983927,3.938678,4,3.963613,3.970796,3.984176,3.868383,3.960884,3.512158,3.873419,3.272727
320.5,3.91764,3.849891,4,3.97061,3.955798,3.983946,3.822328,3.969268,3.49531,3.614374,3.656202
321,4,4,3.970407,3.976562,3.920863,3.976453,3.699084,3.939907,3.557312,3.889323,3.364033
321.5,3.943946,4,3.919503,3.952269,4,3.828418,3.909183,3.948286,3.42145,3.861441,1.873845
322,3.937882,3.932029,3.929956,3.945624,3.945477,3.92995,3.880729,3.861964,3.479887,3.78825,2.695113
322.5,4,3.955693,3.975677,4,3.806823,4,3.952762,3.94257,3.624759,3.85156,3.272727
323,3.969353,3.991539,3.824919,4,3.946883,3.911643,3.991628,3.811268,3.659409,3.914979,1.888504
323.5,3.991308,4,3.969227,3.9752,3.944717,3.913154,3.975263,3.829944,3.203606,4,2.741924
324,3.974974,3.892687,4,3.937946,4,3.889909,3.722679,3.774196,3.752118,4,2.411842
324.5,3.954525,3.931112,3.889554,3.968542,3.963274,3.963308,4,3.935905,3.387923,3.53663,3.767597
